"Name","Address","Industry","Type","Est. of Ownership","National ID","SIC Code"
"PRIMELEAD LIMITED","CITY HOUSE, 6 Karaiskaki, Limassol, 3032, CYPRUS","Finance, Insurance, and Real Estate","Corporation","2007","HE212406 Reg.Nr.","Holding company (6719)"
"BRITISH AIRWAYS PLC","West Wing, Office No. 10.033.002, LARNACA INTERNATIONAL AIRPORT, Larnaca, 6650, CYPRUS","Transportation, Communications, Electric, Gas, and Sanitary Services","Foreign Company","1984","AE416 Reg.Nr.","Air courier services (4513)"
"IMAR BANK OFF SHORE LTD","5/A Memduh Asaf Sokak, LEFKOSA, Turkish Republic Of Northern C, CYPRUS","Finance, Insurance, and Real Estate","Corporation","1992","MS 4396 Reg.Nr.","Commercial bank (6029)"
"IG SEISMIC SERVICES PLC","NBC Nicosia Business Centre, 33 Neas Engomis, Egkomi Nicosias, 2409, CYPRUS","Mining","Corporation","2009","HE255106 Reg.Nr.","Oil/gas exploration services (1382)"
"BLG AUTOMOBILE LOGISTICS RUSSIA LIMITED","1 Lampousas Street, Nicosia, 1095, CYPRUS","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2011","C295990 Reg.Nr.","Freight transportation arrangement (4731)"
"NEAR EAST UNIVERSITY LTD","YAKIN DOGU BULVARI, DIKMEN YOLU UZERI, PK:99138, LEFKOSA, Turkish Republic Of Northern C, CYPRUS","Services","Cooperative","1990","MS-3516 Reg.Nr.","College/university (8221)"
"BANK OF CYPRUS PUBLIC COMPANY LIMITED","Ayia Paraskevi, 51 Stasinou, Strovolos, 2002, CYPRUS","Finance, Insurance, and Real Estate","Corporation","1943","HE165 Reg.Nr.","Misc business credit institutions (6159)"
"VOYAGER KIBRIS LTD","ALSANCAK MEVKII, MERIT KRISTAL COVE HOTEL, Girne, Turkish Republic Of Northern C, CYPRUS","Services","Cooperative","1987","MS 02843 Reg.Nr.","Hotel/motel operation (7011)"
"SYNERGATIKI ETAIREIA DIACHEIRISIS PERIOUSIAKON STOICHEION LTD","8 Grigori Afxentiou, Nicosia, 1096, CYPRUS","Services","Cooperative","1937","0088/1937 Reg.Nr.","Business services (7389)"
"HELLENIC BANK PUBLIC COMPANY LIMITED","200 Corner Limassol & Athalassas Avenue, Strovolos, 2025, CYPRUS","Finance, Insurance, and Real Estate","Corporation","1974","HE6771 Reg.Nr.","Misc business credit institutions (6159)"
"PHC FRANCHISED RESTAURANTS PUBLIC LIMITED","Egkomi Industrial Area, 12 Pindou, Egkomi Nicosias, 2409, CYPRUS","Services","Corporation","1991","HE44705 Reg.Nr.","Management consulting services (8742)"
"HELLENIC PETROLEUM S.A.","8A Chimarras Str., Maroussi, 15125, GREECE","Manufacturing","Corporation","1975","094049864 AFM","Petroleum refiner (2911)"
"PUBLIC POWER CORPORATION S.A.","30 Chalkokondyli, ATHENS, 10432, GREECE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2000","090000045 AFM","Electric services (4911)"
"MOTOR OIL (HELLAS) CORINTH REFINERIES S.A.","12a Irodou Attikou, Maroussi, 15124, GREECE","Manufacturing","Corporation","1970","094027509 AFM","Petroleum refiner (2911)"
"HELLENIC HYPERMARKETS SKLAVENITIS S.A.","136 Kifissou Ave, PERISTERI, 12131, GREECE","Retail Trade","Corporation","2016","800764388 AFM","Ret groceries (5411)"
"MINISTRY OF CITIZEN PROTECTION","4 P. Kanellopoulou, ATHENS, 10177, GREECE","Public Sector","Government Body","1984","090169846 AFM","Public order/safety (9229)"
"ALFA - BETA VASSILOPOULOS SINGLE MEMBER S.A.","81 Spaton Ave, Gerakas, 15344, GREECE","Retail Trade","Corporation","1969","094025817 AFM","Ret groceries (5411)"
"HELLENIC TELECOMMUNICATIONS ORGANIZATION S.A.","99 Kifissias Avenue, Maroussi, 15124, GREECE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1949","094019245 AFM","Communication services (4899)"
"CORAL S.A.","12a Irodotou Attikou, Maroussi, 15124, GREECE","Wholesale Trade","Corporation","1995","094472979 AFM","Whol petroleum products (5172)"
"UNITED OILS S.A.","24 Maroneias, Komotini, 69100, GREECE","Wholesale Trade","Corporation","1997","094496690 AFM","Whol petroleum products (5172)"
"A.N.D. S.A.","3 Prevezis, THESSALONIKI, 54248, GREECE","Wholesale Trade","Corporation","1995","094448574 AFM","Whol petroleum products (5172)"
"MINISTRY OF CITIZEN PROTECTION","4 P. Kanellopoulou, ATHENS, 10177, GREECE","Public Sector","Government Body","1984","090169846 AFM","Public order/safety (9229)"
"HELLENIC HYPERMARKETS SKLAVENITIS S.A.","136 Kifissou Ave, PERISTERI, 12131, GREECE","Retail Trade","Corporation","2016","800764388 AFM","Ret groceries (5411)"
"HELLENIC CORPORATION OF ASSETS & PARTICIPATIONS S.A.","4 Karagiorgi Servias, ATHENS, 10562, GREECE","Finance, Insurance, and Real Estate","Corporation","2016","997104555 AFM","Holding company (6719)"
"HELLENIC TELECOMMUNICATIONS ORGANIZATION S.A.","99 Kifissias Avenue, Maroussi, 15124, GREECE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1949","094019245 AFM","Communication services (4899)"
"ALFA - BETA VASSILOPOULOS SINGLE MEMBER S.A.","81 Spaton Ave, Gerakas, 15344, GREECE","Retail Trade","Corporation","1969","094025817 AFM","Ret groceries (5411)"
"PUBLIC POWER CORPORATION S.A.","30 Chalkokondyli, ATHENS, 10432, GREECE","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2000","090000045 AFM","Electric services (4911)"
"EUROBANK ERGASIAS SERVICES AND HOLDINGS S.A.","20 Amalias, ATHENS, 10557, GREECE","Finance, Insurance, and Real Estate","Corporation","1924","094014250 AFM","Holding company (6719)"
"METRO S.A.","1 Sorou, P.O. Box 52020, Metamorfosi, 14451, GREECE","Retail Trade","Corporation","1976","094062259 AFM","Ret groceries (5411)"
"ALPHA SERVICES AND HOLDINGS S.A.","40, Stadiou Str., ATHENS, 10252, GREECE","Finance, Insurance, and Real Estate","Corporation","1918","094014249 AFM","Holding company (6719)"
"PIRAEUS FINANCIAL HOLDINGS S.A.","4 Amerikis, ATHENS, 10564, GREECE","Finance, Insurance, and Real Estate","Corporation","1916","094014298 AFM","Holding company (6719)"
"MINISTRIA E PUNEVE TE BRENDSHME","LUAN HARADINAJ, PRISHTINE, 10000, KOSOVO","Public Sector","Unknown Type","2019","90010484 NUI","General government (9199)"
"MINISTRIA E FINANCAVE","SHESHI NENE TEREZA pn, PRISHTINE, 10000, KOSOVO","Public Sector","Unknown Type","","1111 NUI","Public finance/taxation/monetary policy (9311)"
"MINISTRIA E SHENDETESISE","ZAGREBIT PN, PRISHTINE, 10000, KOSOVO","Public Sector","Unknown Type","","","Administrative public health programs (9431)"
"ELKOS SH.P.K.","NEXHDET BASHA 2, PEJE, 30000, KOSOVO","Wholesale Trade","Corporation","2004","810413584 NUI","Whol fish/seafood (5146)"
"KOSOVO POLICE SERVICE","63 Kosovo Police MHQ, Police Avenue, PRISHTINE, 10000, KOSOVO","Public Sector","Unknown Type","","","Police protection (9221)"
"HIB PETROL SH.P.K.","MAGJISTRALJA FERIZAJ - PRISHTINE,TALINOVC I MUHAXHEREVE, FERIZAJ, 70000, KOSOVO","Wholesale Trade","Corporation","2005","810662834 NUI","Whol petroleum products (5172)"
"VIVA FRESH SH.P.K.","MAGJISTRALJA PRISHTINE LIPJAN P.N., GRACANICA, 10500, KOSOVO","Retail Trade","Corporation","2006","810670390 NUI","Ret groceries (5411)"
"KORPORATA ENERGJETIKE E KOSOVES SH.A.","NENE TEREZA 36, PRISHTINE, 10000, KOSOVO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2005","811290808 NUI","Electric services (4911)"
"KOSOVO ELECTRICITY SUPPLY COMPANY J.S.C. SH.A.","BULEVARDI BILL KLINTON 3, PRISHTINE, 10000, KOSOVO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2014","811288887 NUI","Electric services (4911)"
"BECHTEL ENKA - GP O.P.","MUJO ULQINAKU 5/9 kati 4, PRISHTINE, 10000, KOSOVO","Construction","Partnership Of Unknown Type","2010","70658755 NUI","Highway/street construction (1611)"
"MINISTRIA E PUNEVE TE BRENDSHME","LUAN HARADINAJ, PRISHTINE, 10000, KOSOVO","Public Sector","Unknown Type","2019","90010484 NUI","General government (9199)"
"MINISTRIA E SHENDETESISE","ZAGREBIT PN, PRISHTINE, 10000, KOSOVO","Public Sector","Unknown Type","","","Administrative public health programs (9431)"
"KOSOVO POLICE SERVICE","63 Kosovo Police MHQ, Police Avenue, PRISHTINE, 10000, KOSOVO","Public Sector","Unknown Type","","","Police protection (9221)"
"KORPORATA ENERGJETIKE E KOSOVES SH.A.","NENE TEREZA 36, PRISHTINE, 10000, KOSOVO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2005","811290808 NUI","Electric services (4911)"
"VIVA FRESH SH.P.K.","MAGJISTRALJA PRISHTINE LIPJAN P.N., GRACANICA, 10500, KOSOVO","Retail Trade","Corporation","2006","810670390 NUI","Ret groceries (5411)"
"ELKOS SH.P.K.","NEXHDET BASHA 2, PEJE, 30000, KOSOVO","Wholesale Trade","Corporation","2004","810413584 NUI","Whol fish/seafood (5146)"
"TELEKOMI I KOSOVES SH.A.","DARDANIA, PRISHTINE, 10000, KOSOVO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1959","70280741 NUI","Communication services (4899)"
"KOSOVO ELECTRICITY SUPPLY COMPANY J.S.C. SH.A.","BULEVARDI BILL KLINTON 3, PRISHTINE, 10000, KOSOVO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2014","811288887 NUI","Electric services (4911)"
"BECHTEL ENKA - GP O.P.","MUJO ULQINAKU 5/9 kati 4, PRISHTINE, 10000, KOSOVO","Construction","Partnership Of Unknown Type","2010","70658755 NUI","Highway/street construction (1611)"
"KOMPANIA KOSOVARE PER DISTRIBUIM DHE FURNIZIM ME ENERGJI ELEKTRIKE SH.A.","BULEVARDI BILL KLINTON 5, PRISHTINE, 10000, KOSOVO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2009","810799364 NUI","Electric services (4911)"
"SILEKS A D MINING INDUSTRIAL COMBINE P O","MACEDONIA","Manufacturing","Corporation","","233/76","Mfg petroleum/coal products (2999)"
"JOHNSON MATTHEY D.O.O.E.L.","TIRZ - BUNARDZIK, ILINDEN, SKOPJE, 1000, MACEDONIA","Manufacturing","Unknown Type","2007","4030007641185 EDB","Mfg motor vehicle parts/accessories (3714)"
"ELEKTROSTOPANSTVO NA MAKEDONIJA","9 ULICA 11 OKTOMVRI, SKOPJE, 1000, MACEDONIA","Manufacturing","Unknown Type","","","Mfg relays/industrial controls (3625)"
"GORENjE GORENjE GOSPODINjSKI APARATI D.O.O.E.L. SKOPJE","BUL. PARTIZANSKI ODREDI 99, SKOPJE-KARPOSH, 1000, MACEDONIA","Retail Trade","Unknown Type","1991","4030991132016 EDB","Ret household appliances (5722)"
"MINISTERSTVO ZA FINANSII-CARINSKA UPRAVA NA REPUBLIKA SEVERNA MAKEDONIJA","Lazar Licenoski 13, SKOPJE, 1000, MACEDONIA","Public Sector","Unknown Type","","4030992228017 EDB","Public finance/taxation/monetary policy (9311)"
"MINISTERSTVO ZA ODBRANA","ORCE NIKOLOV BB, SKOPJE, 1000, MACEDONIA","Public Sector","Unknown Type","","4030990271748 EDB","National security (9711)"
"MINISTERSTVO ZA VNATRESNI RABOTI NA REPUBLIKA SEVERNA MAKEDONIJA","DIMCE MIRCEV 9, SKOPJE, 1000, MACEDONIA","Public Sector","Unknown Type","1990","4030990270610 EDB","Police protection (9221)"
"OKTA AD - SKOPJE","ULICA 1, 25 MILADINOVCI, ILINDEN, SKOPJE, 1000, MACEDONIA","Wholesale Trade","Corporation","1980","4030980254845 EDB","Whol petroleum products (5172)"
"MINISTERSTVO ZA FINANSII","12 DAME GRUEV, SKOPJE, 1000, MACEDONIA","Public Sector","Unknown Type","1992","4030990255017 EDB","Public finance/taxation/monetary policy (9311)"
"UNIVERZITET SVETI KIRIL I METODIJ - MEDICINSKI FAKULTET","50-TA DIVIZIJA 6, SKOPJE, 1000, MACEDONIA","Services","Unknown Type","1947","4080009100154 EDB","College/university (8221)"
"MINISTERSTVO ZA VNATRESNI RABOTI NA REPUBLIKA SEVERNA MAKEDONIJA","DIMCE MIRCEV 9, SKOPJE, 1000, MACEDONIA","Public Sector","Unknown Type","1990","4030990270610 EDB","Police protection (9221)"
"MINISTERSTVO ZA ODBRANA","ORCE NIKOLOV BB, SKOPJE, 1000, MACEDONIA","Public Sector","Unknown Type","","4030990271748 EDB","National security (9711)"
"ELEKTROSTOPANSTVO NA MAKEDONIJA","9 ULICA 11 OKTOMVRI, SKOPJE, 1000, MACEDONIA","Manufacturing","Unknown Type","","","Mfg relays/industrial controls (3625)"
"GORENjE GORENjE GOSPODINjSKI APARATI D.O.O.E.L. SKOPJE","BUL. PARTIZANSKI ODREDI 99, SKOPJE-KARPOSH, 1000, MACEDONIA","Retail Trade","Unknown Type","1991","4030991132016 EDB","Ret household appliances (5722)"
"KROMBERG & SCHUBERT MAKEDONIJA D.O.O.E.L.","INDUSTRISKA ZONA/ZHABENI A, BITOLA, 7000, MACEDONIA","Manufacturing","Unknown Type","2011","4057011512697 EDB","Mfg motor vehicle parts/accessories (3714)"
"UNIVERZITET SVETI KIRIL I METODIJ - MEDICINSKI FAKULTET","50-TA DIVIZIJA 6, SKOPJE, 1000, MACEDONIA","Services","Unknown Type","1947","4080009100154 EDB","College/university (8221)"
"P T T MAKEDONJA","MACEDONIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Unknown Type","1946","1-698-000","U.S. Postal Service (4311)"
"DEONICKO DRUSTVO ZA PROIZVODNJU MOTORA TRANSMISIJA I OPREME DVADESETPRVI MAJ","MACEDONIA","Manufacturing","Corporation","1948","1301400","Mfg motor vehicle parts/accessories (3714)"
"DMM Draexlmaier Manufactur Macedonia D.O.O.E.L.","Industriska Zona/ Telot, KAVADARCI, 1430, MACEDONIA","Manufacturing","Unknown Type","2012","4080012527142 EDB","Mfg engine electrical equipment (3694)"
"ELEKTROPRIVREDA CRNE GORE AD","VUKA KARADZICA BR.2, NIKSIC, 81400, MONTENEGRO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2002","40000330 reg.broj","Electric services (4911)"
"VOLI TRADE","JOSIPA BROZA BB., PODGORICA, 81000, MONTENEGRO","Wholesale Trade","Corporation","2002","50083264 reg.broj","Whol non durable goods (5199)"
"PIZZAROTTI MONTENEGRO","PRIZRENSKA BR. 19, HERCEG NOVI, 85340, MONTENEGRO","Construction","Corporation","2015","50747073 reg.broj","Operative builders (1531)"
"KLINICKI CENTAR CRNE GORE","UL.LJUBLJANSKA B.B., PODGORICA, 81000, MONTENEGRO","Services","Unknown Type","1974","80000914 reg.broj","General hospital (8062)"
"JUGOPETROL","STANKA DRAGOJEVICA BB., PODGORICA, 81000, MONTENEGRO","Wholesale Trade","Corporation","1947","40000087 reg.broj","Whol petroleum products (5172)"
"HARD DISCOUNT LAKOVIC D.O.O.","4 JULA BB, PODGORICA, 81000, MONTENEGRO","Wholesale Trade","Corporation","2008","50507461 reg.broj","Whol groceries (5149)"
"CHINA ROAD & BRIDGE CORPORATION D.O.O. PEKING, NR KINA - DIO STRANOG DRUSTVA PODGORICA","NOVA DALMATINSKA BB, PODGORICA, 81000, MONTENEGRO","Construction","Foreign Company","2014","60012490 reg.broj","Bridge/tunnel construction (1622)"
"FOND ZA OBESTECENJE PODGORICA","UL. NOVAKA MILOSEVA BR. 2, PODGORICA, 81000, MONTENEGRO","Public Sector","Unknown Type","2005","80015303 reg.broj","Public finance/taxation/monetary policy (9311)"
"BEMAX","STUDENTSKA 2A, PODGORICA, 81000, MONTENEGRO","Manufacturing","Corporation","2007","50349533 reg.broj","Mfg ready-mixed concrete (3273)"
"INA -CRNA GORA","OKTOIH BR.2, DONJA GORICA, PODGORICA, 81000, MONTENEGRO","Wholesale Trade","Corporation","2002","50098260 reg.broj","Whol petroleum products (5172)"
"KLINICKI CENTAR CRNE GORE","UL.LJUBLJANSKA B.B., PODGORICA, 81000, MONTENEGRO","Services","Unknown Type","1974","80000914 reg.broj","General hospital (8062)"
"VOLI TRADE","JOSIPA BROZA BB., PODGORICA, 81000, MONTENEGRO","Wholesale Trade","Corporation","2002","50083264 reg.broj","Whol non durable goods (5199)"
"CHINA ROAD & BRIDGE CORPORATION D.O.O. PEKING, NR KINA - DIO STRANOG DRUSTVA PODGORICA","NOVA DALMATINSKA BB, PODGORICA, 81000, MONTENEGRO","Construction","Foreign Company","2014","60012490 reg.broj","Bridge/tunnel construction (1622)"
"MERCATOR-CG D.O.O.","PUT RADOMIRA IVANOVICA BR. 2, PODGORICA, 81000, MONTENEGRO","Retail Trade","Corporation","2010","50582045 reg.broj","Ret misc merchandise (5999)"
"CRNOGORSKI ELEKTRODISTRIBUTIVNI SISTEM D.O.O.","IVANA MILUTINOVICA BR. 12, PODGORICA, 81000, MONTENEGRO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2016","50766918 reg.broj","Electric services (4911)"
"JAVNA USTANOVA UNIVERZITET CRNE GORE","CETINJSKA 2, PODGORICA, 81000, MONTENEGRO","Services","Unknown Type","1974","80000728 reg.broj","College/university (8221)"
"ROKSPED","JOSIPA BROZA TITA 67, PODGORICA, 81000, MONTENEGRO","Retail Trade","Corporation","1992","50080853 reg.broj","Ret new/used automobiles (5511)"
"ELEKTROPRIVREDA CRNE GORE AD","VUKA KARADZICA BR.2, NIKSIC, 81400, MONTENEGRO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2002","40000330 reg.broj","Electric services (4911)"
"POSTA CRNE GORE AKCIONARSKO DRUSTVO PODGORICA A.D.","SLOBODE 1, PODGORICA, 81000, MONTENEGRO","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2012","40009338 reg.broj","Local trucking operator (4212)"
"DEKRA PRIVREMENO ZAPOSLJAVANJE","BULEVAR SVETOG PETRA CETINJSKOG BR.130, PODGORICA, 81000, MONTENEGRO","Services","Corporation","2012","50626421 reg.broj","Employment agency (7361)"
"BRD - GROUPE SOCIETE GENERALE SA","B-DUL ION MIHALACHE NR. 1-7, SECTORUL 1, Bucuresti, ROMANIA","Finance, Insurance, and Real Estate","Corporation","2021","361579 CIF","Misc business credit institutions (6159)"
"AUTOMOBILE-DACIA SA","Uzinei Street, No. 1, Mioveni, 115400, ROMANIA","Manufacturing","Corporation","2020","160796 CIF","Mfg motor vehicle/car bodies (3711)"
"OMV PETROM SA","STR. CORALILOR NR 22 SECTOR 1, Bucuresti, ROMANIA","Mining","Corporation","2021","1590082 CIF","Crude petroleum/natural gas production (1311)"
"BANCA COMERCIALA ROMANA SA","VICTORIEI NR 15 SECTOR 3, Bucuresti, ROMANIA","Finance, Insurance, and Real Estate","Corporation","2015","361757 CIF","Misc business credit institutions (6159)"
"OMV PETROM MARKETING SRL","STR. CORALILOR NR 22 ETAJ 1 SECTOR 1, Bucuresti, ROMANIA","Retail Trade","Corporation","2021","11201891 CIF","Ret fuel dealer (5989)"
"LIDL DISCOUNT SRL","Dn 72, Crangul Lui Bot, Km 73+810, Nedelea, 107027, ROMANIA","Retail Trade","Corporation","2011","22891860 CIF","Ret fruits/vegetables (5431)"
"KAUFLAND ROMANIA SCS","STR. BARBU VACARESCU NR 120-144 SECTOR 2, Bucuresti, ROMANIA","Retail Trade","Partnership Of Unknown Type","2019","15991149 CIF","Ret groceries (5411)"
"FORD ROMANIA SA","STR. HENRY FORD (1863-1947) NR 29, Craiova, 200745, ROMANIA","Manufacturing","Corporation","2012","6488696 CIF","Mfg motor vehicle/car bodies (3711)"
"BRITISH AMERICAN TOBACCO (ROMANIA) TRADING SRL","BUCURESTI-PLOIESTI NR 1A SECTOR 1, Bucuresti, ROMANIA","Wholesale Trade","Corporation","2021","8808452 CIF","Whol tobacco products (5194)"
"OTP BANK ROMANIA SA","STR. BUZESTI NR. 66-68, SECTORUL 1, Bucuresti, ROMANIA","Finance, Insurance, and Real Estate","Corporation","2004","7926069 CIF","Misc business credit institutions (6159)"
"COMPANIA NATIONALA POSTA ROMANA SA","B-DUL DACIA NR 140 ETAJ P SECTOR 2, Bucuresti, ROMANIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2021","427410 CIF","Local trucking operator (4212)"
"COMPANIA NATIONALA DE CAI FERATE ""CFR"" SA","B-DUL DINICU GOLESCU NR. 38, SECTORUL 1, Bucuresti, ROMANIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1998","11054529 CIF","Transportation services (4789)"
"PROFI ROM FOOD SRL","Sever Bocu Street, No. 31, Timisoara, 300278, ROMANIA","Retail Trade","Corporation","2019","11607939 CIF","Ret groceries (5411)"
"REGIA NATIONALA A PADURILOR ROMSILVA RA","PETRICANI NR 9A SECTOR 2, Bucuresti, ROMANIA","Agriculture, Forestry, and Fishing","Government Body","1991","1590120 CIF","Timber tract operation (0811)"
"AUTOMOBILE-DACIA SA","Uzinei Street, No. 1, Mioveni, 115400, ROMANIA","Manufacturing","Corporation","2020","160796 CIF","Mfg motor vehicle/car bodies (3711)"
"KAUFLAND ROMANIA SCS","STR. BARBU VACARESCU NR 120-144 SECTOR 2, Bucuresti, ROMANIA","Retail Trade","Partnership Of Unknown Type","2019","15991149 CIF","Ret groceries (5411)"
"RCS & RDS SA","STR. DR. STAICOVICI NR 75 ETAJ 2 SECTOR 5, Bucuresti, ROMANIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2021","5888716 CIF","Communication services (4899)"
"SOCIETATEA COMPLEXUL ENERGETIC OLTENIA S.A.","ALEXANDRU IOAN CUZA NR 5, Targu Jiu, 210101, ROMANIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2021","30267310 CIF","Electric services (4911)"
"SOCIETATEA NATIONALA DE TRANSPORT FEROVIAR DE CALATORI - CFR - CALATORI SA","B-DUL DINICU GOLESCU NR 38 SECTOR 1, Bucuresti, ROMANIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1998","11054545 CIF","Local passenger transportation (4119)"
"DEDEMAN SRL","STR. ALEXEI TOLSTOI NR 8, Bacau, 600093, ROMANIA","Retail Trade","Corporation","2021","2816464 CIF","Ret hardware (5251)"
"NIS A.D. NOVI SAD","Narodnog Fronta 12, NOVI SAD, 21000, SERBIA","Mining","Corporation","2005","20084693 MB","Crude petroleum/natural gas production (1311)"
"MINISTARSTVO UNUTRASNJIH POSLOVA REPUBLIKE SRBIJE","KNEZA MILOSA 103, Beograd (Savski Venac), 11000, SERBIA","Public Sector","Unknown Type","2003","07008104 MB","Police protection (9221)"
"JP POSTA SRBIJE BEOGRAD","Takovska 2, Beograd (Palilula), 11060, SERBIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Unknown Type","1989","07461429 MB","U.S. Postal Service (4311)"
"TIGAR TYRES DOO","NIKOLE PASICA 213, PIROT, 18300, SERBIA","Manufacturing","Corporation","2002","17466461 MB","Mfg tires/inner tubes (3011)"
"Telekom Srbija a.d., Beograd","TAKOVSKA 2, Beograd (Palilula), 11060, SERBIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1997","17162543 MB","Telephone communications (4813)"
"BANCA INTESA AD BEOGRAD","MILENTIJA POPOVICA 7B, Beograd (Novi Beograd), 11070, SERBIA","Finance, Insurance, and Real Estate","Corporation","1991","07759231 MB","National commercial bank (6021)"
"Elektrodistribucija Srbije d.o.o. Beograd","BULEVAR UMETNOSTI 12, Beograd (Novi Beograd), 11070, SERBIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","1991","07005466 MB","Electric services (4911)"
"UNIVERZITET U BEOGRADU BEOGRAD","STUDENTSKI TRG 1, Beograd (Stari Grad), 11102, SERBIA","Services","Local Government Body","2003","07003170 MB","College/university (8221)"
"Mercator-S doo","Autoput Za Zagreb 11A, Beograd (Novi Beograd), 11070, SERBIA","Retail Trade","Corporation","1993","06886671 MB","Ret groceries (5411)"
"NELT CO. DOO BEOGRAD","MARSALA TITA 226B, DOBANOVCI, 11272, SERBIA","Wholesale Trade","Corporation","2000","17304712 MB","Whol confectionery (5145)"
"MINISTARSTVO UNUTRASNJIH POSLOVA REPUBLIKE SRBIJE","KNEZA MILOSA 103, Beograd (Savski Venac), 11000, SERBIA","Public Sector","Unknown Type","2003","07008104 MB","Police protection (9221)"
"JP EPS BEOGRAD","Balkanska 13, Beograd (Stari Grad), 11102, SERBIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Unknown Type","2005","20053658 MB","Electric services (4911)"
"UNITED ALLOY-TECH EUROPE DOO","GOSPODAR JEVREMOVA 13V, SABAC, 15000, SERBIA","Manufacturing","Corporation","2021","21645931 MB","Mfg motor vehicle parts/accessories (3714)"
"JP POSTA SRBIJE BEOGRAD","Takovska 2, Beograd (Palilula), 11060, SERBIA","Transportation, Communications, Electric, Gas, and Sanitary Services","Unknown Type","1989","07461429 MB","U.S. Postal Service (4311)"
"DELHAIZE SERBIA DOO BEOGRAD","JURIJA GAGARINA 14, Beograd (Novi Beograd), 11070, SERBIA","Retail Trade","Corporation","2004","17569171 MB","Ret groceries (5411)"
"NIS A.D. NOVI SAD","Narodnog Fronta 12, NOVI SAD, 21000, SERBIA","Mining","Corporation","2005","20084693 MB","Crude petroleum/natural gas production (1311)"
"LEONI WIRING SYSTEMS SOUTHEAST DOO PROKUPLJE","PANE DJUKICA 1, PROKUPLJE, 18400, SERBIA","Services","Corporation","2009","20521694 MB","Repair services (7699)"
"UNIVERZITET U BEOGRADU BEOGRAD","STUDENTSKI TRG 1, Beograd (Stari Grad), 11102, SERBIA","Services","Local Government Body","2003","07003170 MB","College/university (8221)"
"Mercator-S doo","Autoput Za Zagreb 11A, Beograd (Novi Beograd), 11070, SERBIA","Retail Trade","Corporation","1993","06886671 MB","Ret groceries (5411)"
"ZDRAVSTVENA USTANOVA KLINICKI CENTAR SRBIJE","PASTEROVA 2, Beograd (Savski Venac), 11000, SERBIA","Services","Unknown Type","1983","07089503 MB","General hospital (8062)"
"IS YATIRIM MENKUL DEGERLER ANONIM SIRKETI","KAT:13, NO:10-14 4.LEVENT IS KULELERI KULE-2, BESIKTAS, Istanbul (Europe), 34330, TURKEY","Finance, Insurance, and Real Estate","Corporation","1996","358758 TİCARET SİCİL NO","Security/commodity exchange (6231)"
"KOC HOLDING ANONIM SIRKETI","NO:1 NAKKASTEPE AZIZBEY SOKAK, KUZGUNCUK, USKUDAR, Istanbul (Anatolia), 34674, TURKEY","Finance, Insurance, and Real Estate","Corporation","1996","85714 TİCARET SİCİL NO","Holding company (6719)"
"QNB FINANS YATIRIM MENKUL DEGERLER ANONIM SIRKETI","K KULE BINASI KAT:6-7, NO:215 ESENTEPE MAHALLESI, BUYUKDERE CADDESI, SISLI, Istanbul (Europe), 34384, TURKEY","Finance, Insurance, and Real Estate","Corporation","1996","358657 TİCARET SİCİL NO","Security/commodity exchange (6231)"
"ENERJISA DOGAL GAZ TOPTAN SATIS ANONIM SIRKETI","AGAOGLU MY OFFICE, NO:1/16 BARBAROS MAHALLESI, CIGDEM SOKAK, ATASEHIR, Istanbul (Anatolia), 34746, TURKEY","Transportation, Communications, Electric, Gas, and Sanitary Services","Corporation","2017","539989 TİCARET SİCİL NO","Natural gas transmission (4922)"
"YENI MAGAZACILIK ANONIM SIRKETI","B APT, NO:4 B1 BURHANIYE MAHALLESI, NAGEHAN SOKAK, USKUDAR, Istanbul (Anatolia), 34676, TURKEY","Retail Trade","Corporation","2014","661036 TİCARET SİCİL NO","Ret groceries (5411)"
