name,marketcap,country,change (1 year),rank,change (1 day),categories,share price
gpa,$1.12 b,brazil,-70.43%,#4095,1.59%,,$4.15
miramar hotel and investment,$1.12 b,hong kong,-1.08%,#4096,-1.24%,🏨 hotels💰 investment🌴 travel,$1.63
nlight,$1.12 b,usa,-19.12%,#4097,0.39%,📟 semiconductors👩‍💻 tech💻 tech hardware,$25.61
graphite india,$1.12 b,india,54.64%,#4098,2.06%,,$5.75
nlc india,$1.12 b,india,12.59%,#4099,0.33%,⛏️ mining🔋 electricity ⚡ energy,$0.81
community healthcare trust,$1.12 b,usa,-3.45%,#4100,0.25%,🏥 medical care facilities🏠 real estate💰 investment 🏘️ reits,$44.90
lydall,$1.11 b,usa,104.78%,#4101,0.02%,,$62.09
nicolet bankshares,$1.11 b,usa,10.69%,#4102,0.26%,🏦 banks💳 financial services,$78.08
endo international,$1.11 b,ireland,-3.52%,#4103,-3.54%,💊 pharmaceuticals🧬 biotech,$4.77
east india distilleries parry,$1.11 b,india,44.82%,#4104,-0.07%,🍴 food,$6.27
idt corporation,$1.11 b,usa,242.08%,#4105,-2.18%,📡 telecommunication💳 financial services,$43.10
american axle & manufacturing,$1.10 b,usa,17.61%,#4106,-0.21%,🚘 automotive suppliers auto parts,$9.73
nbcc india,$1.10 b,india,55.13%,#4107,4.71%,,$0.62
rpt realty,$1.10 b,usa,61.22%,#4108,-0.83%,🏠 real estate💰 investment 🏘️ reits,$13.11
us ecology,$1.10 b,usa,-1.13%,#4109,-0.28%,♻️ waste & recycling,$35.05
evo payments,$1.10 b,usa,-7.28%,#4110,-0.79%,💳 financial services👩‍💻 tech,$23.24
harmonic,$1.10 b,usa,67.91%,#4111,-0.78%,👩‍💻 tech🖥️ internet,$10.75
essel propack,$1.09 b,india,n/a,#4112,0.26%,📦 packaging,$3.48
american woodmark,$1.09 b,usa,-30.22%,#4113,0.03%,,$66.08
hyliion,$1.09 b,usa,-64.99%,#4114,0.48%,🔋 electric vehicles,$6.31
missfresh,$1.09 b,china,n/a,#4115,0.00%,🛒 e-commerce🛍️ retail🖥️ internet👩‍💻 tech🍴 food,$4.63
hudco,$1.09 b,india,2.88%,#4116,0.49%,🏠 real estate,$0.54
sandstorm gold,$1.08 b,canada,-21.43%,#4117,-0.79%,⛏️ mining ⛏️ gold mining,$5.68
pushpay holdings,$1.08 b,new zealand,-29.44%,#4118,0.00%,🖥️ internet💳 financial services👩‍💻 tech,$0.95
ocugen,$1.08 b,usa,"1,808.78%",#4119,-3.45%,💊 pharmaceuticals🧬 biotech,$5.46
baozun,$1.08 b,china,-63.31%,#4120,1.89%,🛒 e-commerce🖥️ internet👩‍💻 tech,$14.52
gevo,$1.08 b,usa,214.62%,#4121,-0.09%,⚡ energy ⛽ biofuel🌞 renewable energy,$5.38
mastek,$1.08 b,india,160.84%,#4122,-0.90%,👩‍💻 software👩‍💻 tech,$36.47
microvision,$1.08 b,usa,157.79%,#4123,-2.80%,👩‍💻 tech🚦 lidar,$6.59
zumiez,$1.08 b,usa,26.37%,#4124,0.11%,🛍️ retail,$47.16
bitfarms,$1.08 b,canada,n/a,#4125,-0.69%,₿ bitcoin👩‍💻 tech,$5.77
forrester research,$1.07 b,usa,27.34%,#4126,-0.79%,💼 professional services,$56.33
greensky,$1.07 b,usa,178.87%,#4127,-1.52%,💳 financial services,$11.70
eih limited,$1.07 b,india,23.69%,#4128,2.52%,🏨 hotels🌴 travel,$1.72
shoe carnival,$1.07 b,usa,4.16%,#4129,-0.93%,👟 footwear🛍️ retail,$38.20
knr constructions,$1.07 b,india,-4.61%,#4130,-0.55%,🏗 construction,$3.81
stonex,$1.06 b,usa,-11.88%,#4131,1.16%,💳 financial services,$55.63
beml,$1.06 b,india,167.41%,#4132,-3.01%,⛏️ mining,$25.61
lemaitre vascular,$1.06 b,usa,35.38%,#4133,0.21%,medical devices,$48.81
global medical reit,$1.06 b,usa,17.58%,#4134,-0.72%,🏠 real estate💰 investment 🏘️ reits 🏥 medical care facilities,$16.60
pampa energía,$1.06 b,argentina,39.97%,#4135,1.11%,⚡ energy🔋 electricity🚰 utility companies,$19.12
republic bank,$1.06 b,usa,40.33%,#4136,-0.21%,🏦 banks💳 financial services,$52.54
telos,$1.06 b,usa,n/a,#4137,-1.49%,🔒 it security👩‍💻 tech,$15.90
brookdale senior living,$1.05 b,usa,38.44%,#4138,-2.64%,🏥 medical care facilities,$5.72
hci group,$1.05 b,usa,93.04%,#4139,1.21%,,$103.30
prince pipes and fittings,$1.05 b,india,161.78%,#4140,-0.13%,,$9.57
designer brands,$1.05 b,usa,87.72%,#4141,-2.26%,👟 footwear,$14.50
orient electric,$1.05 b,india,69.66%,#4142,1.37%,🏠 home & kitchen appliances,$4.99
reata pharmaceuticals,$1.05 b,usa,-76.69%,#4143,-0.17%,💊 pharmaceuticals🧬 biotech,$29.06
mechel pao,$1.05 b,russia,71.07%,#4144,-1.47%,⛏️ mining,$2.68
imax corp,$1.05 b,canada,20.61%,#4145,0.62%,entertainment,$17.84
rev group,$1.05 b,usa,65.05%,#4146,-0.18%,🚑 specialty vehicles 🏭 manufacturing,$16.26
magic software,$1.05 b,israel,42.76%,#4147,0.74%,,$21.46
eurowag,$1.05 b,uk,n/a,#4148,0.35%,💳 financial services,$152.49
forestar group,$1.04 b,usa,4.73%,#4149,0.57%,🏠 real estate,$21.15
orla mining,$1.04 b,canada,n/a,#4150,-1.63%,⛏️ mining ⛏️ gold mining ⛏️ silver mining,$4.23
photronics,$1.04 b,usa,58.51%,#4151,-2.90%,📟 semiconductors👩‍💻 tech,$17.10
bombay burmah,$1.04 b,india,-17.94%,#4152,0.80%,💳 financial services,$14.94
wheels up,$1.04 b,usa,n/a,#4153,-2.64%,,$4.24
yit,$1.03 b,finland,-11.03%,#4154,-0.05%,🏗 construction,$4.97
cewe,$1.03 b,germany,39.21%,#4155,0.79%,,$143.89
itaú corpbanca,$1.03 b,chile,-33.19%,#4156,0.00%,🏦 banks💳 financial services,$3.04
norwegian air shuttle,$1.03 b,norway,-81.80%,#4157,1.17%,✈️ airlines🌴 travel,$1.12
ies holdings,$1.03 b,usa,16.36%,#4158,-0.38%,,$50.10
huron consulting,$1.03 b,usa,-6.86%,#4159,0.32%,💼 professional services,$47.23
national healthcare,$1.03 b,usa,6.58%,#4160,1.32%,⚕️ healthcare,$66.94
nerdwallet,$1.03 b,usa,n/a,#4161,-2.12%,💳 financial services👩‍💻 tech🖥️ internet,$15.68
plymouth industrial reit,$1.03 b,usa,116.14%,#4162,-0.70%,🏠 real estate💰 investment 🏘️ reits,$29.79
mannkind corp,$1.03 b,usa,47.16%,#4163,-1.20%,💊 pharmaceuticals🧬 biotech,$4.10
velodyne lidar,$1.02 b,usa,n/a,#4164,-0.38%,👩‍💻 tech💻 tech hardware🚦 lidar,$5.24
vip industries,$1.02 b,india,45.59%,#4165,1.56%,,$7.25
borosil,$1.02 b,india,328.53%,#4166,5.00%,👓 glassware,$7.84
ouster,$1.02 b,usa,n/a,#4167,-2.30%,👩‍💻 tech💻 tech hardware🚦 lidar,$5.95
vaxxinity,$1.01 b,usa,n/a,#4168,1.12%,💊 pharmaceuticals🧬 biotech,$8.14
new gold,$1.01 b,canada,-32.24%,#4169,2.41%,,$1.49
amerisafe,$1.01 b,usa,-8.86%,#4170,0.71%,🏦 insurance,$52.60
nexa resources,$1.01 b,luxembourg,-3.84%,#4171,-0.97%,⛏️ mining ⛏️ gold mining,$7.69
model n,$1.01 b,usa,-11.85%,#4172,0.82%,👩‍💻 software👩‍💻 tech,$28.21
tav airports holding,$1.01 b,turkey,92.13%,#4173,-1.47%,🛫 airports,$2.82
canaan,$1.01 b,china,25.53%,#4174,0.42%,👩‍💻 tech ₿ bitcoin💻 tech hardware,$5.93
rush street interactive,$1.01 b,usa,n/a,#4175,-1.77%,entertainment🎰 gambling🖥️ internet,$17.16
nürnberger versicherung,$1.01 b,germany,9.22%,#4176,0.65%,,$87.53
adtran,$1.01 b,usa,45.04%,#4177,-1.09%,📡 telecommunications equipment,$20.83
ceva,$1.01 b,usa,15.28%,#4178,-1.54%,📟 semiconductors👩‍💻 tech,$43.98
oneconnect,$1.01 b,china,-87.35%,#4179,-0.38%,👩‍💻 tech💳 financial services,$2.59
ellington financial,$1.00 b,usa,17.00%,#4180,0.17%,💳 financial services💰 investment,$17.58
hibbett sports,$1.00 b,usa,60.09%,#4181,-1.12%,👟 footwear,$73.47
delta corp,$1.00 b,india,80.65%,#4182,3.41%,🎰 gambling🏨 hotels entertainment🌴 travel,$3.76
summit hotel properties,$1.00 b,usa,6.13%,#4183,-1.10%,🏠 real estate💰 investment 🏘️ reits🏨 hotels🌴 travel,$9.42
stagwell,$0.99 b,usa,n/a,#4184,-2.32%,➡️ advertising,$8.83
the joint corp.,$0.99 b,usa,172.71%,#4185,-1.80%,,$69.28
property for industry,$0.99 b,new zealand,-1.72%,#4186,2.82%,🏠 real estate💰 investment 🏘️ reits,$1.98
bionano genomics,$0.99 b,usa,593.05%,#4187,-2.13%,🧬 genomics🧬 biotech⚕️ diagnostics and testing,$3.45
jindal stainless (hisar),$0.99 b,india,149.24%,#4188,0.11%,,$4.22
homestreet bank,$0.99 b,usa,44.81%,#4187,-0.12%,🏦 banks💳 financial services,$48.74
quinstreet,$0.98 b,usa,-12.89%,#4195,0.94%,➡️ advertising🖥️ internet👩‍💻 tech,$18.22
johnson outdoors,$0.99 b,usa,11.39%,#4190,0.41%,,$97.91
origin bancorp,$0.99 b,usa,61.98%,#4191,-0.69%,🏦 banks💳 financial services,$42.18
brigham minerals,$0.99 b,usa,87.95%,#4192,0.97%,🛢 oil&gas ⚡ energy,$21.90
kayne anderson capital advisors,$0.98 b,usa,23.22%,#4196,0.19%,,$7.82
qep resources,$0.98 b,usa,70.71%,#4194,-4.45%,🛢 oil&gas ⚡ energy,$4.08
brooge energy,$0.98 b,united arab emirates,-3.12%,#4198,3.56%,🛢 oil&gas ⚡ energy,$9.01
solo brands,$0.98 b,usa,n/a,#4193,3.84%,,$16.11
deutsche euroshop,$0.98 b,germany,-18.91%,#4199,-1.87%,,$15.97
hawaiian airlines,$0.98 b,usa,1.18%,#4202,-2.58%,✈️ airlines🌴 travel,$19.23
sono,$0.97 b,germany,n/a,#4208,-1.67%,🚗 automakers🔋 electric vehicles,$13.56
blacksky technology,$0.98 b,usa,n/a,#4201,2.11%,🚀 aerospace👩‍💻 software👩‍💻 tech,$8.49
markforged,$0.98 b,usa,n/a,#4203,-2.04%,🖨️ 3d printing👩‍💻 tech,$5.29
dah sing financial,$0.97 b,hong kong,9.80%,#4204,-3.04%,🏦 banks💳 financial services,$3.06
tristate capital holdings,$0.97 b,usa,80.12%,#4205,-0.34%,🏦 banks💳 financial services,$29.53
lianbio,$0.97 b,usa,n/a,#4206,-6.82%,💊 pharmaceuticals🧬 biotech,$9.29
national energy services reunited,$0.97 b,usa,9.87%,#4207,1.13%,⚡ energy🛢 oil&gas 🛢️ oil & gas equipment & services,$10.70
rain industries,$0.97 b,india,62.11%,#4209,-0.16%,🧪 chemicals,$2.90
zeal network,$0.97 b,germany,-8.88%,#4210,-0.90%,,$43.65
delegat,$0.97 b,new zealand,-9.61%,#4212,0.00%,🥤 beverages🍷 alcoholic beverages,$9.64
clarus,$0.97 b,usa,81.59%,#4205,-0.23%,,$26.47
bharat dynamics,$0.97 b,india,16.75%,#4213,0.22%,🔫 defense contractors,$5.31
cai international,$0.97 b,usa,63.74%,#4214,0.02%,transportation,$56.00
cowen,$0.97 b,usa,43.91%,#4215,-0.25%,🏦 banks💳 financial services💰 investment,$35.57
finnair,$0.96 b,finland,0.85%,#4216,1.43%,✈️ airlines🌴 travel,$0.69
caverion,$0.96 b,finland,8.90%,#4217,0.72%,,$7.10
kearny financial,$0.96 b,usa,20.39%,#4218,0.55%,🏦 banks💳 financial services,$12.88
onespaworld,$0.96 b,bahamas,20.70%,#4220,1.35%,wellness,$10.52
genesco,$0.96 b,usa,97.13%,#4221,0.88%,🛍️ retail,$63.84
fortuna silver mines,$0.96 b,canada,-50.38%,#4222,0.43%,⛏️ mining ⛏️ silver mining,$3.29
viewray,$0.96 b,usa,24.00%,#4219,-2.42%,🧬 biotech medical devices,$5.45
new found gold,$0.95 b,canada,n/a,#4224,-0.51%,⛏️ mining ⛏️ gold mining,$5.83
aktia bank,$0.95 b,finland,20.20%,#4223,0.34%,🏦 banks💳 financial services,$13.35
pollux properti indonesia,$0.95 b,indonesia,-62.63%,#4225,-6.76%,🏠 real estate,$0.12
indus holding,$0.95 b,germany,-4.55%,#4226,0.00%,,$35.52
rpc,$0.95 b,usa,23.82%,#4227,-0.78%,🛢 oil&gas 🛢️ oil & gas equipment & services ⚡ energy,$4.44
now inc.,$0.95 b,usa,37.96%,#4228,1.11%,🛢 oil&gas 🛢️ oil & gas equipment & services ⚡ energy,$8.64
trueblue,$0.95 b,usa,39.86%,#4229,0.30%,💼 staffing & employment services💼 professional services,$26.85
chase corporation,$0.95 b,usa,-7.32%,#4230,-0.78%,🧪 chemicals,$100.72
cross country healthcare,$0.95 b,usa,191.54%,#4232,-0.52%,💼 staffing & employment services💼 professional services,$25.03
tpg real estate finance trust,$0.95 b,usa,20.25%,#4233,-1.04%,🏠 real estate💳 financial services,$12.34
ehang holdings,$0.95 b,china,25.84%,#4231,0.18%,,$17.17
ryerson,$0.94 b,usa,109.17%,#4234,-2.25%,,$24.74
ebix,$0.94 b,usa,-12.18%,#4235,-0.78%,👩‍💻 software👩‍💻 tech,$30.68
kiniksa pharmaceuticals,$0.94 b,bermuda,-20.01%,#4236,0.51%,💊 pharmaceuticals🧬 biotech,$13.78
reconafrica,$0.94 b,canada,248.08%,#4238,-0.77%,🛢 oil&gas ⚡ energy,$5.07
weave communications,$0.94 b,usa,n/a,#4237,11.45%,👩‍💻 software👩‍💻 tech,$15.09
viad,$0.94 b,usa,47.98%,#4239,0.04%,,$45.91
movado,$0.94 b,usa,141.06%,#4240,-1.75%,,$41.07
halkbank,$0.94 b,turkey,0.19%,#4242,-1.87%,🏦 banks💳 financial services,$0.38
denny's,$0.94 b,usa,13.66%,#4241,-1.46%,🍔 restaurant chains🍴 food,$14.84
adler real estate,$0.93 b,germany,-42.22%,#4243,1.33%,,$8.58
simulations plus,$0.93 b,usa,-20.46%,#4244,1.36%,👩‍💻 software👩‍💻 tech,$46.62
schweitzer-mauduit international,$0.93 b,usa,-19.73%,#4245,0.00%,👷 engineering 🏭 manufacturing,$29.83
washington trust bancorp,$0.93 b,usa,22.92%,#4246,-0.37%,🏦 banks💳 financial services,$54.13
third point reinsurance,$0.93 b,bermuda,6.58%,#4247,-2.76%,🏦 insurance,$10.21
carriage services,$0.93 b,usa,85.73%,#4248,1.41%,,$56.22
arcturus therapeutics,$0.93 b,usa,-59.18%,#4249,-2.83%,💊 pharmaceuticals🧬 biotech🧬 mrna therapeutics,$35.32
interface,$0.92 b,usa,70.52%,#4250,1.55%,,$15.74
heg,$0.92 b,india,111.12%,#4251,2.56%,,$24.08
symphony limited,$0.92 b,india,6.37%,#4252,1.46%,,$12.90
winmark,$0.92 b,usa,43.42%,#4253,-0.54%,🛍️ retail,$261.36
banco macro,$0.92 b,argentina,-10.43%,#4256,-0.26%,,$14.47
douglas dynamics,$0.92 b,usa,-2.17%,#4254,0.61%,,$40.31
corporación américa airports,$0.92 b,luxembourg,44.75%,#4255,-0.52%,🛫 airports,$5.76
sunlight reit,$0.92 b,hong kong,15.24%,#4257,-0.23%,🏠 real estate💰 investment 🏘️ reits,$0.55
punjab & sind bank,$0.92 b,india,12.71%,#4258,2.67%,🏦 banks💳 financial services,$0.23
suzlon,$0.92 b,india,111.27%,#4259,4.67%,🌞 renewable energy,$0.10
enento group,$0.92 b,finland,-1.47%,#4260,1.19%,💼 professional services,$38.40
aegion,$0.92 b,usa,72.55%,#4261,0.00%,🏗 construction👷 engineering,$29.99
pae,$0.92 b,usa,5.77%,#4262,0.05%,🔫 defense contractors,$9.91
wisdomtree investments,$0.91 b,usa,25.15%,#4263,0.16%,💳 financial services💰 investment asset management,$6.33
wabash national,$0.91 b,usa,-2.39%,#4264,1.09%,🏭 manufacturing,$18.56
dht holdings,$0.91 b,bermuda,-1.27%,#4265,0.82%,🛢 oil&gas transportation 🚢 maritime transportation,$5.51
hollysys automation technologie,$0.91 b,china,18.31%,#4266,0.67%,,$14.96
napco security technologies,$0.91 b,usa,60.37%,#4269,2.05%,,$49.77
tecnoglass,$0.91 b,colombia,290.58%,#4267,-10.85%,,$19.22
uranium energy,$0.91 b,usa,238.10%,#4268,-1.97%,⛏️ mining,$3.48
metlifecare,$0.91 b,new zealand,n/a,#4272,0.00%,🏥 medical care facilities,$4.27
armada hoffler properties,$0.91 b,usa,36.99%,#4270,-0.20%,🏠 real estate💰 investment 🏘️ reits,$14.82
propetro,$0.90 b,usa,27.80%,#4273,0.17%,🛢 oil&gas 🛢️ oil & gas equipment & services,$8.80
corepoint lodging,$0.90 b,usa,108.47%,#4274,-0.10%,🏠 real estate💰 investment 🏘️ reits,$15.50
growgeneration,$0.91 b,usa,-50.45%,#4271,-2.12%,🛍️ retail,$15.22
intersect ent,$0.90 b,usa,40.30%,#4275,-0.15%,💊 pharmaceuticals🧬 biotech,$27.01
lakeland bancorp,$0.90 b,usa,44.89%,#4276,-0.22%,🏦 banks💳 financial services,$17.84
benchmark electronics,$0.89 b,usa,-1.47%,#4277,-0.14%,🔌 electronics 🏭 manufacturing,$25.47
sparc,$0.89 b,india,28.95%,#4278,3.76%,💊 pharmaceuticals,$3.40
immunovant,$0.89 b,usa,-83.39%,#4279,1.44%,,$7.77
clearfield,$0.89 b,usa,170.77%,#4280,-0.52%,,$65.05
cian,$0.89 b,russia,n/a,#4281,-1.68%,🏠 real estate🖥️ internet👩‍💻 tech,$12.91
geo group,$0.89 b,usa,-22.32%,#4282,-0.62%,🏠 real estate💰 investment 🏘️ reits,$7.27
rapt therapeutics,$0.88 b,usa,34.71%,#4283,-2.62%,💊 pharmaceuticals,$30.12
smith & wesson,$0.88 b,usa,16.73%,#4284,0.19%,,$18.39
zealand pharma,$0.88 b,denmark,-45.98%,#4285,-1.52%,💊 pharmaceuticals🧬 biotech,$20.10
meta materials,$0.88 b,canada,n/a,#4286,-1.41%,,$3.16
paya,$0.88 b,usa,n/a,#4287,-2.05%,💳 financial services🖥️ internet👩‍💻 tech,$6.70
scholar rock holding,$0.88 b,usa,-47.87%,#4288,-0.71%,💊 pharmaceuticals🧬 biotech,$25.19
tenneco,$0.88 b,usa,1.60%,#4289,0.00%,🚘 automotive suppliers,$10.77
origin materials,$0.88 b,usa,n/a,#4290,-0.48%,,$6.26
root insurance,$0.87 b,usa,n/a,#4291,-1.13%,🏦 insurance,$3.48
horizon bancorp,$0.87 b,usa,30.94%,#4292,-0.20%,🏦 banks💳 financial services,$20.19
vanda pharmaceuticals,$0.87 b,usa,27.80%,#4293,-0.06%,💊 pharmaceuticals🧬 biotech,$15.76
mmtc,$0.87 b,india,113.45%,#4294,1.49%,,$0.58
syndax pharmaceuticals,$0.87 b,usa,-23.16%,#4295,0.86%,💊 pharmaceuticals🧬 biotech,$17.63
spartannash,$0.86 b,usa,31.03%,#4296,0.50%,🛒 supermarket chains🛍️ retail🍴 food,$24.19
caleres,$0.86 b,usa,72.41%,#4297,-1.99%,👟 footwear,$22.66
hinduja global solutions,$0.86 b,india,236.72%,#4298,-2.44%,,$41.27
praj industries,$0.86 b,india,221.26%,#4300,3.84%,👷 engineering,$4.69
azure power,$0.85 b,india,-47.59%,#4301,0.45%,🌞 renewable energy🔋 electricity ⚡ energy,$17.83
scansource,$0.85 b,usa,18.41%,#4302,0.15%,,$33.56
douyu,$0.85 b,china,-79.20%,#4303,0.77%,🖥️ internet,$2.63
lsb industries,$0.85 b,usa,242.11%,#4304,5.49%,🧪 chemicals,$9.60
rites,$0.85 b,india,-0.72%,#4305,0.34%,👷 engineering💼 professional services,$3.55
seacor holdings,$0.85 b,usa,22.60%,#4306,0.22%,,$41.50
hikal,$0.85 b,india,193.53%,#4307,1.13%,💊 pharmaceuticals,$6.90
triple-s management,$0.85 b,usa,54.20%,#4308,0.29%,🏦 insurance,$35.73
blucora,$0.84 b,usa,24.53%,#4309,0.96%,💳 financial services,$17.43
netgear,$0.84 b,usa,-15.96%,#4310,-0.92%,📞 networking hardware 📡 telecommunications equipment👩‍💻 tech💻 tech hardware,$29.00
qcr holdings,$0.84 b,usa,53.11%,#4311,-0.62%,🏦 banks💳 financial services,$54.32
polyplex,$0.84 b,india,153.43%,#4312,3.54%,,$26.95
northfield bancorp,$0.84 b,usa,44.62%,#4313,0.29%,🏦 banks💳 financial services,$17.00
greentree hospitality,$0.84 b,china,-38.29%,#4314,3.15%,,$8.18
hingham institution for savings,$0.84 b,usa,77.51%,#4315,0.33%,🏦 banks💳 financial services,$393.31
sunteck realty,$0.84 b,india,34.64%,#4316,-0.89%,🏠 real estate🏗 construction,$5.75
univest,$0.84 b,usa,43.61%,#4317,-0.52%,💰 investment💳 financial services🏦 insurance,$28.60
olectra greentech,$0.84 b,india,668.23%,#4318,-0.50%,,$10.23
opera,$0.83 b,norway,-10.94%,#4319,-3.83%,👩‍💻 software👩‍💻 tech,$7.28
cera sanitaryware,$0.83 b,india,48.56%,#4320,0.69%,,$64.45
heidrick & struggles,$0.83 b,usa,61.36%,#4321,-0.75%,💼 staffing & employment services💼 professional services,$42.78
agenus,$0.83 b,usa,-15.53%,#4322,1.40%,🧬 biotech💊 pharmaceuticals,$3.26
foundation building materials,$0.83 b,usa,-0.05%,#4323,0.00%,🧱 building materials,$19.24
bj's restaurants,$0.82 b,usa,6.47%,#4324,-1.71%,🍔 restaurant chains🍴 food,$35.58
sterling & wilson solar,$0.82 b,india,50.79%,#4325,-1.68%,🌞 renewable energy,$5.17
independence holding company,$0.82 b,usa,40.48%,#4326,-0.02%,🏦 insurance,$56.44
badger infrastructure solutions,$0.82 b,canada,n/a,#4327,-1.74%,,$23.92
boston omaha,$0.82 b,usa,21.10%,#4328,-0.93%,➡️ advertising,$27.80
allegiance bancshares,$0.82 b,usa,18.90%,#4329,0.27%,🏦 banks💳 financial services,$40.68
cnx midstream partners,$0.82 b,usa,n/a,#4330,-6.34%,🛢 oil&gas,$9.16
bluelinx,$0.82 b,usa,222.52%,#4331,1.94%,🧱 building materials🛍️ retail,$84.67
par pacific holdings,$0.82 b,usa,-2.90%,#4332,-0.64%,⚡ energy🛣️ infrastructure,$13.64
kura oncology,$0.82 b,usa,-67.58%,#4333,-0.88%,💊 pharmaceuticals🧬 biotech,$12.33
anaptysbio,$0.82 b,usa,21.36%,#4334,-0.57%,💊 pharmaceuticals🧬 biotech,$29.83
veritone,$0.81 b,usa,-7.24%,#4335,-0.04%,👩‍💻 software👩‍💻 tech,$23.44
universal health realty income trust,$0.81 b,usa,-12.65%,#4336,-0.30%,🏠 real estate💰 investment 🏘️ reits,$59.14
digi international,$0.81 b,usa,35.06%,#4337,-1.05%,👩‍💻 software👩‍💻 tech iot,$23.67
precigen,$0.81 b,usa,-53.06%,#4338,0.64%,💊 pharmaceuticals,$3.94
the first bancshares,$0.80 b,usa,29.84%,#4339,0.05%,🏦 banks💳 financial services,$38.53
heritage financial,$0.80 b,usa,-5.15%,#4340,-0.02%,🏦 banks💳 financial services,$23.00
rr donnelley,$0.80 b,usa,651.75%,#4341,3.16%,➡️ advertising,$11.09
arteris,$0.80 b,usa,n/a,#4342,2.38%,📟 semiconductors👩‍💻 tech💻 tech hardware,$25.79
cathay real estate development,$0.80 b,taiwan,-7.67%,#4343,0.00%,🏠 real estate,$0.69
perdoceo education,$0.80 b,usa,-9.25%,#4344,1.68%,🎓 education,$11.47
generation bio,$0.80 b,usa,-70.67%,#4345,-0.63%,💊 pharmaceuticals🧬 biotech🧬 gene therapy🧬 genomics,$14.11
international seaways,$0.80 b,usa,-14.65%,#4346,1.08%,transportation 🚢 maritime transportation,$15.84
electrica,$0.80 b,romania,-22.05%,#4347,0.00%,🔋 electricity🚰 utility companies ⚡ energy,$8.58
gossamer bio,$0.79 b,usa,13.72%,#4348,0.77%,💊 pharmaceuticals🧬 biotech,$10.44
lordstown motors,$0.79 b,usa,n/a,#4349,-1.43%,🚗 automakers🔋 electric vehicles,$4.15
mesoblast,$0.79 b,australia,-63.39%,#4350,-1.13%,💊 pharmaceuticals🧬 biotech,$6.15
the original bark company,$0.79 b,usa,n/a,#4351,-1.60%,🖥️ internet🛒 e-commerce👩‍💻 tech,$4.63
city office reit,$0.79 b,canada,85.31%,#4352,-0.25%,🏘️ reits🏠 real estate💰 investment,$18.25
praxis precision medicines,$0.79 b,usa,n/a,#4353,-2.64%,💊 pharmaceuticals🧬 biotech,$17.67
nano-x imaging,$0.79 b,israel,n/a,#4354,2.35%,medical devices,$16.54
meridian bioscience,$0.79 b,usa,-4.11%,#4355,0.22%,⚕️ diagnostics and testing,$18.25
workhorse group,$0.79 b,usa,-75.71%,#4356,-0.78%,,$5.07
hovnanian enterprises,$0.79 b,usa,240.14%,#4357,2.83%,🏗 construction,$126.44
aeye,$0.79 b,usa,n/a,#4358,2.30%,👩‍💻 tech💻 tech hardware🚦 lidar,$5.12
national western life,$0.79 b,usa,9.52%,#4359,0.03%,🏦 insurance,$217.37
trivago,$0.78 b,germany,7.87%,#4360,-5.36%,🖥️ internet🌴 travel🌴 online travel👩‍💻 tech,$2.21
heritage-crystal clean,$0.78 b,usa,63.77%,#4361,0.05%,,$32.61
torchlight energy resources,$0.78 b,usa,768.42%,#4362,4.21%,🛢 oil&gas ⚡ energy,$4.95
scorpio tankers,$0.78 b,monaco,22.94%,#4363,-0.81%,transportation 🚢 maritime transportation🛢 oil&gas,$13.50
vaxart,$0.78 b,usa,-15.92%,#4364,0.65%,💊 pharmaceuticals🧬 biotech,$6.27
centrus energy,$0.78 b,usa,295.07%,#4365,0.07%,,$56.14
lexinfintech holdings,$0.78 b,china,-33.03%,#4366,-1.43%,💳 financial services,$4.30
phibro animal health,$0.78 b,usa,7.46%,#4367,-2.47%,,$19.38
indus realty trust,$0.78 b,usa,n/a,#4368,0.82%,🏠 real estate💰 investment 🏘️ reits,$77.01
inogen,$0.78 b,usa,-2.10%,#4369,-0.38%,medical devices,$34.41
arlo technologies,$0.78 b,usa,30.51%,#4370,0.38%,👩‍💻 tech iot💻 tech hardware,$9.28
healthstream,$0.78 b,usa,20.94%,#4371,0.69%,⚕️ healthcare,$24.77
tupperware brands,$0.78 b,usa,-52.89%,#4372,0.00%,,$15.99
norway royal salmon,$0.78 b,norway,-21.09%,#4373,-0.25%,🍴 food,$18.01
nabors industries,$0.77 b,bermuda,36.51%,#4374,1.22%,🛢 oil&gas ⚡ energy,$94.21
cardiovascular systems,$0.77 b,usa,-43.96%,#4375,-1.54%,medical devices,$19.14
orchid island capital,$0.77 b,usa,-15.90%,#4376,0.77%,🏠 real estate💰 investment 🏘️ reits,$4.59
american software,$0.77 b,usa,41.40%,#4377,-0.22%,👩‍💻 software👩‍💻 tech,$23.14
neenah,$0.77 b,usa,-12.97%,#4378,-0.44%,📦 packaging📄 pulp and paper,$46.24
iris energy,$0.77 b,australia,n/a,#4379,-5.28%,₿ bitcoin👩‍💻 tech,$14.08
mind medicine,$0.77 b,usa,n/a,#4380,-3.16%,💊 pharmaceuticals🧬 biotech,$1.84
pegasus airlines,$0.77 b,turkey,83.39%,#4381,-0.19%,✈️ airlines🌴 travel,$7.57
digimarc,$0.77 b,usa,-16.35%,#4381,2.86%,👩‍💻 software👩‍💻 tech,$45.62
ub properties,$0.77 b,usa,37.63%,#4384,-0.55%,🏠 real estate💰 investment 🏘️ reits,$19.75
consolidated communications,$0.77 b,usa,44.26%,#4382,-1.26%,📡 telecommunication,$7.82
