"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"BEIJING CTROWELL TECHNOLOGY CORPORATION","8,304","","","1.289 Billion USD","China","Technology Hardware and Instruments, Technology","","","","Shenzhen","https://www.ichigo-office.co.jp/"
"CMGE TECHNOLOGY GROUP LIMITED","8,305","","","","China","Gaming, Communication Services","","","","HKeX","https://www.ichigo-office.co.jp/"
"NANHUA FUTURES","8,306","","","1.633 Billion USD","China","Stock Markets, Trading, Capital Markets, Financial Services","","","","Shanghai","https://www.ichigo-office.co.jp/"
"MENSCH UND MASCHINE SOFTWARE SE","8,307","288 Million USD","22 Million USD","1.227 Billion USD","Germany","Software and IT, Technology","","","","Deutsche Borse","https://www.ichigo-office.co.jp/"
"KINGNET NETWORK","8,308","","","1.549 Billion USD","China","Gaming, Communication Services","","","","Shenzhen","https://www.ichigo-office.co.jp/"
"HAITONG UNITRUST INTERNATIONAL LEASING","8,309","","","1.955 Billion USD","China","Financial Services","","","","HKeX","https://www.ichigo-office.co.jp/"
"METROVACESA","8,310","174 Million USD","-193 Million USD","1.143 Billion USD","Spain","Real Estate, Residential Properties, Consumer Cyclical","","","","MCE","https://www.ichigo-office.co.jp/"
"ZHEJIANG YINLUN MACHINERY","8,311","","","1.670 Billion USD","China","Automobile, Automobile Parts, Consumer Cyclical","","","","Shenzhen","https://www.ichigo-office.co.jp/"
"PT INDO TAMBANGRAYA MEGAH TBK","8,312","","","1.067 Billion USD","Indonesia","Coal Mining, Mining, Energy","","","","Frankfurt","https://itmg.co.id/"
"AQUAVENTURE HOLDINGS","8,313","","","","British Virgin Islands","Utilities","","","","Frankfurt, NYSE","https://itmg.co.id/"
"INDIE SEMICONDUCTOR, INC.","8,313","","","","USA","Semiconductors, Technology","","","","","https://itmg.co.id/"
"PITNEY BOWES","8,314","3,554 Million USD","-182 Million USD","1.066 Billion USD","USA","Office Equipment, Industries","11,500","","","Frankfurt, NYSE","https://itmg.co.id/"
"ZHEJIANG MTCN TECHNOLOGY CO.,LTD","8,315","","","","China","Semiconductors, Technology","","","","Shenzhen","https://itmg.co.id/"
"SHAANXI PROVINCIAL NATURAL GAS CO.LTD","8,316","","","1.101 Billion USD","China","Oil and Gas, Energy","","","","Shenzhen","https://itmg.co.id/"
"EPISIL HOLDING","8,317","","","","Taiwan","Semiconductors, Technology","","","","Taiwan","https://itmg.co.id/"
"HANG XIAO STEEL STRUCTURE CO., LTD.","8,318","","","","China","Iron and Steel, Basic Materials","","","","Shanghai","https://itmg.co.id/"
"OCEANAGOLD CORPORATION","8,319","","","","Australia","Gold Mining, Mining, Basic Materials","2,200","","","TSX","https://itmg.co.id/"
"LIBERBANK","8,320","744 Million USD","48 Million USD","0.914 Billion USD","Spain","Banking Services, Financial Services","","","","Frankfurt","https://itmg.co.id/"
"GCI SCIENCE & TECHNOLOGY","8,320","","","1.481 Billion USD","China","Communications Equipment, Technology","","","","Shenzhen","https://www.chinagci.com.my/"
"NEW HOPE CORPORATION","8,321","794 Million USD","-116 Million USD","0.906 Billion USD","Australia","Mining, Coal Mining, Energy","","Australia ADRs","","Frankfurt, ASX","https://www.chinagci.com.my/"
"LES NOUVEAUX CONSTRUCTEURS SA","8,321","","","","France","Construction, Residential Properties, Real Estate","","","","LSE, EURONEXT","https://www.chinagci.com.my/"
"OEM INTERNATIONAL AB (PUBL)","8,322","394 Million USD","38 Million USD","0.864 Billion USD","Sweden","Industry Machinery, Industries","","","","Stockholm","https://www.chinagci.com.my/"
"MONTROSE ENVIRONMENTAL GROUP, INC.","8,323","328 Million USD","-107 Million USD","0.773 Billion USD","USA","Waste and Trash Management","","","","NYSE","https://www.chinagci.com.my/"
"WAFER WORKS CORPORATION","8,324","","","","Taiwan","Semiconductors, Technology","","","","Taiwan","https://www.chinagci.com.my/"
"CINEWORLD GROUP","8,325","4,370 Million USD","","1.203 Billion USD","UK","Entertainment, Communication Services","37,482","","","LSE, Frankfurt","https://www.chinagci.com.my/"
"GUANGDONG HUATIE TONGDA HIGH-SPEED RAILWAY EQUIPMENT CORPORATION","8,326","","","1.295 Billion USD","China","Railway, Industries","","","","Shenzhen","https://www.chinagci.com.my/"
"GENEONE LIFE SCIENCE","8,327","36 Million USD","-16 Million USD","0.884 Billion USD","South Korea","Biotechnology, Biopharmaceutical, Healthcare","","","","South Korea","https://www.chinagci.com.my/"
"YANTAI CHINA PET FOODS","8,328","","","1.725 Billion USD","China","FMCG, Package Foods, Consumer Defensive","","","","Shenzhen","https://www.chinagci.com.my/"
"SHANXI BLUE FLAME HOLDING COMPANY","8,329","","","1.201 Billion USD","China","Coal Mining, Mining, Energy","","","","Shenzhen","http://www.qlssn.com/"
"GANSU QILIANSHAN CEMENT GROUP","8,330","","","1.614 Billion USD","China","Cement, Construction Materials, Basic Materials","","","","Shanghai","http://www.qlssn.com/"
"Z ENERGY","8,331","2,464 Million USD","43 Million USD","1.202 Billion USD","New Zealand","Oil and Gas, Energy","2,451","","","NZX, ASX","http://www.qlssn.com/"
"COLUMBUS MCKINNON CORPORATION","8,332","650 Million USD","9 Million USD","0.919 Billion USD","USA","Construction Materials, Capital Goods, Industries","3,128","","","Frankfurt, Nasdaq","http://www.qlssn.com/"
"SHENZHEN XINHAO PHOTOELECTRICITY TECHNOLOGY CO.,LTD","8,333","","","","China","Electronics, Technology","","","","Shenzhen","http://www.qlssn.com/"
"TOKEN CORPORATION","8,334","2,819 Million USD","92 Million USD","1.068 Billion USD","Japan","Real Estate","","","","Tokyo","http://www.qlssn.com/"
"CENTURY TEXTILES AND INDUSTRIES","8,335","334 Million USD","-4 Million USD","0.624 Billion USD","India","Conglomerate, Construction Materials, Basic Materials","","S&P BSE BASIC MATERIALS","","NSE, BSE","http://www.qlssn.com/"
"EXCHANGE INCOME CORPORATION","8,336","920 Million USD","22 Million USD","1.018 Billion USD","Canada","Airlines, Aviation, Industries","","","","TSX","http://www.qlssn.com/"
"CELLAVISION AB (PUBL)","8,337","57 Million USD","11 Million USD","0.886 Billion USD","Sweden","Medical Equipment, Healthcare","","","","Stockholm","http://www.qlssn.com/"
"COHEN & STEERS REIT AND PREFERRED INCOME FUND","8,338","92 Million USD","-505 Million USD","1.086 Billion USD","USA","Asset Management, Financial Services","","","","NYSE","http://www.qlssn.com/"
"ELEKTRO REDES S.A.","8,339","","","","Brazil","Electric Utilities, Utilities","","","","Bovespa Brazil","https://www.neoenergiaelektro.com.br//"
"POCO HOLDING CO., LTD.","8,340","","","","China","Chemicals, Basic Materials","","","","Shenzhen","https://www.neoenergiaelektro.com.br//"
"EUROCOMMERCIAL PROPERTIES","8,341","","","0.925 Billion USD","Netherlands","Retail, Property Investments, Real Estate","","","","EURONEXT","https://www.neoenergiaelektro.com.br//"
"BAODING TIANWEI BAOBIAN ELECTRIC","8,342","","","1.438 Billion USD","China","Industry Machinery, Industries","","","","Shanghai","https://www.neoenergiaelektro.com.br//"
"DBG TECHNOLOGY","8,343","","","1.619 Billion USD","China","Electronics, Consumer Electronics, Technology","","","","Shenzhen","https://www.neoenergiaelektro.com.br//"
"TXC CORPORATION","8,344","398 Million USD","51 Million USD","0.826 Billion USD","Taiwan","Electronics, Capital Goods, Technology","","","","Taiwan","https://www.neoenergiaelektro.com.br//"
"YAPP AUTOMOTIVE SYSTEMS","8,345","","","1.147 Billion USD","China","Automobile, Automobile Parts, Consumer Cyclical","","","","Shanghai","https://www.neoenergiaelektro.com.br//"
"GCP INFRASTRUCTURE INVESTMENTS LIMITED","8,346","4 Million USD","-1 Million USD","1.312 Billion USD","UK","Asset Management","","","","LSE","https://www.neoenergiaelektro.com.br//"
"MATERIALISE NV","8,347","199 Million USD","-8 Million USD","3.611 Billion USD","Belgium","Software and IT, Software Products, Technology","2,000","","","Frankfurt, Nasdaq","https://www.neoenergiaelektro.com.br//"
"NETDRAGON WEBSOFT HOLDINGS","8,348","","","1.248 Billion USD","China","Gaming, Communication Services","","","","HKeX","https://www.neoenergiaelektro.com.br//"
"BRIGHTSPIRE CAPITAL, INC.","8,349","","","","USA","Property Investments, Real Estate","","","","","https://www.brightspire.com/"
"SKYWATER TECHNOLOGY, INC","8,350","","","","USA","Semiconductors","","","","Nasdaq","https://www.brightspire.com/"
"KYORITSU MAINTENANCE","8,351","1,143 Million USD","-115 Million USD","1.454 Billion USD","Japan","Resorts, Hotels, Consumer Cyclical","5,408","","","Tokyo","https://www.brightspire.com/"
"GUANGDONG HYBRIBIO BIOTECH","8,352","","","1.354 Billion USD","China","Health Care Diagnostics, Healthcare","","","","Shenzhen","https://www.brightspire.com/"
"SHANTOU DONGFENG PRINTING","8,353","","","1.150 Billion USD","China","Printing, Business Services, Industries","","","","Shanghai","https://www.brightspire.com/"
"SPIRE HEALTHCARE GROUP","8,354","769 Million USD","-323 Million USD","0.843 Billion USD","UK","Hospitals, Healthcare Service, Healthcare","","","","LSE, Frankfurt","https://www.brightspire.com/"
"CAMURUS AB (PUBL)","8,355","40 Million USD","-20 Million USD","1.216 Billion USD","Sweden","Biotechnology, Healthcare","","","","Stockholm","https://www.brightspire.com/"
"ASCENTAGE PHARMA GROUP INTERNATIONAL","8,356","","","1.116 Billion USD","China","Biotechnology, Healthcare","","","","HKeX","https://www.brightspire.com/"
"ECORODOVIAS INFRAESTRUTURA E LOGISTICA","8,357","","","1.436 Billion USD","Brazil","Infrastructure, Industries","","","","Bovespa Brazil","https://www.brightspire.com/"
"SCHNITZER STEEL INDUSTRIES","8,358","1,712 Million USD","-4 Million USD","0.876 Billion USD","USA","Iron and Steel, Metals, Basic Materials","3,363","","","Nasdaq","https://www.brightspire.com/"
"AN HUI WENERGY COMPANY","8,359","","","1.450 Billion USD","China","Electric Utilities, Utilities","","","","Shenzhen","http://www.wenergy.cn/"
"VALUECOMMERCE","8,360","265 Million USD","39 Million USD","1.000 Billion USD","Japan","Advertising, Communication Services","","","","Tokyo","http://www.wenergy.cn/"
"NIPPON PAPER INDUSTRIES","8,361","9,498 Million USD","30 Million USD","1.339 Billion USD","Japan","Paper and Pulp, Basic Materials","5,324","NIKKEI 225","","Tokyo","http://www.wenergy.cn/"
"PPK GROUP","8,362","","","0.395 Billion USD","Australia","Heavy Machinery, Industries","","","","ASX","http://www.wenergy.cn/"
"HENGDIAN GROUP TOSPO LIGHTING","8,363","","","0.793 Billion USD","China","Electrical Products, Industries","","","","Shanghai","http://www.wenergy.cn/"
"GUNKUL ENGINEERING PUBLIC COMPANY","8,364","232 Million USD","102 Million USD","0.738 Billion USD","Thailand","Engineering Products, Engineering Services, Industries","","","","Thailand","http://www.wenergy.cn/"
"UNITED SUPER MARKETS HOLDINGS","8,366","6,925 Million USD","83 Million USD","1.407 Billion USD","Japan","Retail, Super Markets, Consumer Cyclical","28,905","","","Tokyo","http://www.wenergy.cn/"
"INVESTORS REAL ESTATE TRUST","8,366","195 Million USD","52 Million USD","","USA","Consumer Services, Real Estate","","","","Frankfurt, NYSE","http://www.wenergy.cn/"
"LORAL SPACE & COMMUNICATIONS","8,367","0 Million USD","93 Million USD","0.649 Billion USD","USA","Telecom, Communication Services","","","","Nasdaq","http://www.wenergy.cn/"
"KIWI PROPERTY GROUP","8,368","164 Million USD","138 Million USD","1.376 Billion USD","New Zealand","Property Investments, Real Estate","","","","NZX","http://www.wenergy.cn/"
"FIRST COMMONWEALTH FINANCIAL CORPORATION","8,369","396 Million USD","73 Million USD","1.052 Billion USD","USA","Banking Services, Financial Services","1,399","","","Frankfurt, NYSE","https://www.fcbanking.com"
"ARKO HOLDINGS","8,369","3,910 Million USD","13 Million USD","7.083 Billion USD","USA","Petroleum, Convenience Stores, Retail","","","","Tel Aviv","https://www.fcbanking.com"
"DIVERSIFIED ENERGY COMPANY PLC","8,370","","","","USA","Oil and Gas, Energy","","","","LSE","https://www.fcbanking.com"
"BANQUE CANTONALE DE GENEVE SA","8,371","","","1.268 Billion USD","Switzerland","Banking Services, Financial Services","","","","Switzerland","https://www.fcbanking.com"
"FORTRESS REIT","8,372","242 Million USD","-561 Million USD","1.304 Billion USD","South Africa","Property Investments, Real Estate","","","","JSE","https://www.fcbanking.com"
"AUB GROUP","8,373","221 Million USD","35 Million USD","0.926 Billion USD","Australia","Insurance, Financial Services","","","","ASX","https://www.fcbanking.com"
"ZEHNDER GROUP AG","8,374","722 Million USD","44 Million USD","0.772 Billion USD","Switzerland","Home Appliances, Home Improvement, Industries","","","","Switzerland","https://www.fcbanking.com"
"SITRONIX TECHNOLOGY CORPORATION","8,375","","","0.695 Billion USD","Taiwan","Semiconductors, Technology","","","","Taiwan","https://www.fcbanking.com"
"PONY TESTING CO., LTD.","8,376","","","","China","Business Services, Industries","","","","Shenzhen","https://www.fcbanking.com"
"SHANGHAI QIANGSHENG HOLDING","8,377","","","1.422 Billion USD","China","Rent / Lease Services, Cars, Industries","","","","Shanghai","https://www.fcbanking.com"
"TIBET HUAYU MINING","8,378","","","0.924 Billion USD","China","Mining, Basic Materials","","","","Shanghai","http://www.huayumining.com/"
"BONDUELLE SCA","8,379","3,368 Million USD","64 Million USD","","France","Food Products, Package Foods, Consumer Defensive","","","","EURONEXT","http://www.huayumining.com/"
"HORNBACH BAUMARKT AG","8,379","6,037 Million USD","181 Million USD","1.387 Billion USD","Germany","Retail, Real Estate, Consumer Cyclical","","","","Frankfurt","http://www.huayumining.com/"
"LINK MOBILITY GROUP HOLDING ASA","8,380","","","","Norway","Telecom, Communication Services","","","","Oslo","http://www.huayumining.com/"
"THREE'S COMPANY MEDIA GROUP CO., LTD.","8,381","","","","China","Advertising, Communication Services","","","","Shanghai","http://www.huayumining.com/"
"TICON FREEHOLD AND LEASEHOLD REAL ESTATE INVESTMENT TRUST","8,382","89 Million USD","36 Million USD","1.101 Billion USD","Thailand","Property Investments, Real Estate","","","","Thailand","http://www.huayumining.com/"
"NEXUS AG","8,383","192 Million USD","18 Million USD","0.978 Billion USD","Germany","Healthcare Service, Healthcare Technology and Information, Healthcare","","","","Frankfurt","http://www.huayumining.com/"
"CHANGJIANG & JINGGONG STEEL BUILDING (GROUP) CO. LTD","8,384","","","1.380 Billion USD","China","Construction, Industries","","","","Shanghai","http://www.huayumining.com/"
"SHENZHEN NEW NANSHAN HOLDING (GROUP)","8,385","","","1.716 Billion USD","China","Real Estate","","","","Shenzhen","http://www.huayumining.com/"
"JILIN SINO-MICROELECTRONICS","8,386","","","1.221 Billion USD","China","Electronics, Semiconductors, Technology","","","","Shanghai","http://www.huayumining.com/"
"STREAMAX TECHNOLOGY CO., LTD.","8,387","","","","China","Automobile Parts, Consumer Cyclical","","","","Shenzhen","https://en.streamax.com/"
"GREATTOWN HOLDINGS","8,388","","","1.476 Billion USD","China","Real Estate","","","","Shanghai","https://en.streamax.com/"
"TGS-NOPEC GEOPHYSICAL COMPANY ASA","8,389","35 Million USD","-21 Million USD","1.790 Billion USD","Norway","Oil and Gas, Energy","","","","Frankfurt","https://en.streamax.com/"
"GLENVEAGH PROPERTIES PLC","8,390","272 Million USD","-16 Million USD","1.028 Billion USD","Ireland","Construction","","","","LSE","https://en.streamax.com/"
"XINYAQIANG SILICON CHEMISTRY CO.,LTD","8,391","","","","China","Chemicals, Basic Materials","","","","Shanghai","https://en.streamax.com/"
"INGLES MARKETS","8,392","4,611 Million USD","179 Million USD","0.864 Billion USD","USA","Food Products, Consumer Services, Consumer Defensive","18,630","","","Nasdaq","https://en.streamax.com/"
"LONGCHEN PAPER & PACKAGING","8,393","","","1.012 Billion USD","Taiwan","Paper and Pulp, Packaging, Basic Materials","","","","Taiwan","https://en.streamax.com/"
"BANCA MONTE DEI PASCHI DI SIENA","8,394","3,743 Million USD","-1,993 Million USD","1.402 Billion USD","Italy","Banking Services, Financial Services","","","","Borsa Italiana","https://en.streamax.com/"
"AL HAMMADI COMPANY FOR DEVELOPMENT AND INVESTMENT","8,395","268 Million USD","35 Million USD","0.925 Billion USD","Saudi Arabia","Hospitals, Healthcare","","","","Tadawul","https://en.streamax.com/"
"MAIRE TECNIMONT","8,396","3,032 Million USD","68 Million USD","0.729 Billion USD","Italy","Construction, Industries","","","","Borsa Italiana","https://en.streamax.com/"
"BUKWANG PHARMACEUTICAL","8,397","","","","South Korea","Pharmaceutical, HealthCare Products, Healthcare","","","","South Korea","https://www.bukwang.co.kr/"
"WELL HEALTH TECHNOLOGIES","8,398","40 Million USD","-3 Million USD","1.023 Billion USD","Canada","Hospitals, Healthcare","","","","Frankfurt","https://www.bukwang.co.kr/"
"SANTOS BRASIL PARTICIPACOES","8,399","","","0.870 Billion USD","Brazil","Shipping, Industries","","","","Bovespa Brazil","https://www.bukwang.co.kr/"
"SKILLSOFT CORP.","8,400","","","","USA","Education, Consumer Defensive","","","","","https://www.bukwang.co.kr/"
"HUI XIAN REAL ESTATE INVESTMENT TRUST","8,401","375 Million USD","-101 Million USD","1.404 Billion USD","Hong Kong","Property Investments, Real Estate","","","","HKeX","https://www.bukwang.co.kr/"
"PRINCESS PRIVATE EQUITY HOLDING LIMITED","8,402","114 Million USD","99 Million USD","1.111 Billion USD","UK","Asset Management","","","","LSE","https://www.bukwang.co.kr/"
"FELDA GLOBAL VENTURES HOLDINGS BERHAD","8,403","","","","Malaysia","Farming / Seeds / Milling, Consumer Defensive","","","","Malaysia","https://www.bukwang.co.kr/"
"KRYSTAL BIOTECH","8,404","0 Million USD","-32 Million USD","1.182 Billion USD","USA","Biotechnology, Technology, Healthcare","37","","","Nasdaq","https://www.bukwang.co.kr/"
"ACCELL GROUP","8,405","","","0.849 Billion USD","Netherlands","Bicycle, Leisure, Consumer Cyclical","","","","Frankfurt, EURONEXT","https://www.bukwang.co.kr/"
"ZETA GLOBAL HOLDINGS CORP.","8,406","","","","USA","Software and IT, Shell Company","","","","NYSE","https://www.bukwang.co.kr/"
"C.Q. PHARMACEUTICAL HOLDING","8,407","","","1.376 Billion USD","China","Pharmaceutical, HealthCare Products, Healthcare","","","","Shenzhen","http://www.cqphar.com/"
"SOLASTO CORPORATION","8,408","1,001 Million USD","33 Million USD","1.464 Billion USD","Japan","Hospitals, Healthcare","27,174","","","Tokyo","http://www.cqphar.com/"
"NEW MOUNTAIN FINANCE CORPORATION","8,409","","","","USA","Asset Management, Financial Services","","","","","http://www.cqphar.com/"
"LEXINFINTECH HOLDINGS","8,410","","","1.484 Billion USD","China","Financial Services","","","","Frankfurt, Nasdaq","http://www.cqphar.com/"
"THIRD POINT REINSURANCE","8,410","","","0.893 Billion USD","Bermuda","Insurance, Financial Services","","","","Frankfurt, NYSE","http://www.cqphar.com/"
"PROTEK","8,411","","","","Russia","Healthcare","","","","Russia","http://www.cqphar.com/"
"VELODYNE LIDAR, INC.","8,411","","","","USA","Technology Hardware and Instruments, Technology","","","","","http://www.cqphar.com/"
"INTERSHOP HOLDING AG","8,412","124 Million USD","84 Million USD","1.294 Billion USD","Switzerland","Real Estate","","","","Switzerland","http://www.cqphar.com/"
"OFFICE PROPERTIES INCOME TRUST","8,413","588 Million USD","7 Million USD","1.080 Billion USD","USA","Property Investments, Commercial Properties, Real Estate","","","","Frankfurt","http://www.cqphar.com/"
"K92 MINING INC.","8,414","","","","Canada","Gold Mining, Mining, Basic Materials","","","","","http://www.cqphar.com/"
"UNIPHAR","8,415","2,134 Million USD","33 Million USD","0.791 Billion USD","Ireland","Hospitals, Healthcare","","","","LSE","https://www.uniphar.ie/"
"ALLMED MEDICAL PRODUCTS CO. LTD","8,416","575 Million USD","174 Million USD","1.969 Billion USD","China","Medical Equipment, Healthcare","","","","Shenzhen","https://www.uniphar.ie/"
"ACHILLION PHARMACEUTICALS","8,417","","","","USA","Pharmaceutical, HealthCare Products, Healthcare","","","","Nasdaq","https://www.uniphar.ie/"
"DONGGUAN AOHAI TECHNOLOGY CO., LTD.","8,417","","","","China","Electrical Products, Industries","","","","Shenzhen","https://www.uniphar.ie/"
"GUANGLIAN AVIATION INDUSTRY CO., LTD.","8,418","","","","China","Aerospace and Defense, Industries","","","","Shenzhen","https://www.uniphar.ie/"
"COSMAX","8,419","1,189 Million USD","18 Million USD","0.921 Billion USD","South Korea","Cosmetics, Beauty and Personal Care, Consumer Defensive","","","","South Korea","https://www.uniphar.ie/"
"CHONG KUN DANG PHARMACEUTICAL","8,420","1,134 Million USD","80 Million USD","","South Korea","Pharmaceutical, HealthCare Products, Healthcare","","","","South Korea","https://www.uniphar.ie/"
"EVERGREEN INTERNATIONAL STORAGE & TRANSPORT CORPORATION","8,421","251 Million USD","25 Million USD","0.770 Billion USD","Taiwan","Shipping, Industries","","","","Taiwan","https://www.uniphar.ie/"
"CHEMRING GROUP","8,422","555 Million USD","48 Million USD","1.102 Billion USD","UK","Aerospace and Defense, Industries","","","","LSE","https://www.uniphar.ie/"
"SUNFLOWER PHARMACEUTICAL GROUP","8,423","","","1.311 Billion USD","China","Pharmaceutical, HealthCare Products, Healthcare","","","","Shenzhen","https://www.uniphar.ie/"
"YINSON HOLDINGS BERHAD","8,424","","","","Malaysia","Oil and Gas, Energy","","","","Malaysia","https://www.yinson.com/"
"ALIANSCE SONAE SHOPPING CENTERS SA","8,425","151 Million USD","32 Million USD","1.485 Billion USD","Brazil","Real Estate","","","","EURONEXT, Bovespa Brazil","https://www.yinson.com/"
"HENGTAI SECURITIES CO. LTD","8,426","","","0.890 Billion USD","China","Stock Markets, Trading, Capital Markets, Financial Services","","","","HKeX","https://www.yinson.com/"
"RESTAURANT GROUP","8,426","1,547 Million USD","-29 Million USD","0.518 Billion USD","UK","Restaurants, Consumer Cyclical","","","","LSE, Frankfurt","https://www.yinson.com/"
"ROLAND CORPORATION","8,427","","","0.950 Billion USD","Japan","Musical Instruments, Leisure","","","","Tokyo","https://www.yinson.com/"
"BEIJING ORIENT LANDSCAPE & ENVIRONMENT","8,428","","","1.702 Billion USD","China","Construction, Industries","","","","Shenzhen","https://www.yinson.com/"
"SHENZHEN TOPRAYSOLAR","8,429","","","0.984 Billion USD","China","Solar Power Devices, Technology","","","","Shenzhen","https://www.yinson.com/"
"CITIC TELECOM INTERNATIONAL HOLDINGS","8,430","1,160 Million USD","133 Million USD","1.153 Billion USD","Hong Kong","Telecom, Communication Services","","","","HKeX","https://www.yinson.com/"
"HEXATRONIC GROUP AB (PUBL)","8,431","","","0.348 Billion USD","Sweden","Communications Equipment, Technology","","","","Stockholm","https://www.yinson.com/"
"JAY MART PUBLIC COMPANY","8,432","336 Million USD","24 Million USD","0.614 Billion USD","Thailand","Retail, Consumer Cyclical","","","","Thailand","https://www.yinson.com/"
"LINX","8,433","","","1.267 Billion USD","Brazil","Software and IT, Technology","","","","Bovespa Brazil","https://linx.software/"
"TENNECO","8,434","15,379 Million USD","-1,521 Million USD","0.863 Billion USD","USA","Automobile, Automobile Parts, Consumer Cyclical","73,000","","","NYSE","https://linx.software/"
"VINA CONCHA Y TORO","8,435","1,000 Million USD","101 Million USD","1.290 Billion USD","Chile","Alcoholic Beverages, Beverages, Consumer Defensive","","","","Santiago","https://linx.software/"
"ZHENGZHOU DEHENG HONGSHENG TECHNOLOGY","8,436","","","1.175 Billion USD","China","Semiconductors, Heavy Machinery, Technology","","","","Shanghai","https://linx.software/"
"PROVIDENT FINANCIAL","8,437","1,115 Million USD","-115 Million USD","1.065 Billion USD","UK","Financial Services","","","","LSE, Frankfurt","https://linx.software/"
"MOCHIDA PHARMACEUTICAL","8,438","937 Million USD","78 Million USD","1.472 Billion USD","Japan","Pharmaceutical, HealthCare Products, Healthcare","1,581","","","Tokyo, Frankfurt","https://linx.software/"
"JINLEI TECHNOLOGY","8,439","","","1.333 Billion USD","China","Industry Machinery, Industries","","","","Shenzhen","https://linx.software/"
"GRUPA ZYWIEC S.A.","8,440","","","","Poland","Alcoholic Beverages, Beverages, Consumer Defensive","","","","","https://linx.software/"
"ZHUZHOU TIMES NEW MATERIAL TECHNOLOGY","8,441","","","1.046 Billion USD","China","Chemicals, Basic Materials","","","","Shanghai","https://linx.software/"
"WUHAN FINGU ELECTRONIC TECHNOLOGY","8,442","","","1.544 Billion USD","China","Communications Equipment, Technology","","","","Shenzhen","https://linx.software/"
"GEK TERNA HOLDINGS REAL ESTATE CONSTRUCTION","8,442","","","","Greece","Infrastructure, Construction, Industries","","","","Frankfurt","http://www.gekterna.com/"
"PREMIER ANTI-AGING CO., LTD.","8,443","","","","Japan","FMCG, Consumer Defensive","","","","Tokyo","http://www.gekterna.com/"
"GLORY","8,444","2,050 Million USD","57 Million USD","1.228 Billion USD","Japan","Industry Machinery, Industries","3,473","","","Tokyo","http://www.gekterna.com/"
"THIRD POINT INVESTORS LIMITED","8,445","287 Million USD","224 Million USD","1.033 Billion USD","UK","Asset Management","","","","LSE","http://www.gekterna.com/"
"CHONGQING ZONGSHEN POWER MACHINERY","8,446","","","1.351 Billion USD","China","Automobile, Automobile Parts, Consumer Cyclical","","","","Shenzhen","http://www.gekterna.com/"
"OLVI OYJ","8,447","485 Million USD","47 Million USD","1.221 Billion USD","Finland","Alcoholic Beverages, Beverages, Consumer Defensive","","","","","http://www.gekterna.com/"
"HOTEL PROPERTIES","8,448","191 Million USD","-142 Million USD","1.202 Billion USD","Singapore","Hotels, Resorts, Consumer Cyclical","","","","Singapore","http://www.gekterna.com/"
"VERIDIS ENVIRONMENT LTD","8,449","","","","Israel","Waste and Trash Management","","","","","http://www.gekterna.com/"
"FORTUNA SILVER MINES","8,450","223 Million USD","17 Million USD","1.513 Billion USD","Canada","Metals, Precious Metals, Basic Materials","1,236","","","TSX, NYSE","http://www.gekterna.com/"
"ANHUI GENUINE NEW MATERIALS","8,451","","","1.729 Billion USD","China","Packaging, Consumer Cyclical","","","","Shanghai","http://www.gekterna.com/"
"SIRIO PHARMA","8,452","","","1.689 Billion USD","China","FMCG, Package Foods, Consumer Defensive","","","","Shenzhen","https://www.siriopharma.com/"
"IRB-BRASIL RESSEGUROS","8,453","915 Million USD","-289 Million USD","1.977 Billion USD","Brazil","Insurance, Financial Services","","","","Bovespa Brazil","https://www.siriopharma.com/"
"DAEWOONG","8,454","","","","South Korea","Financial Services, Pharmaceutical, Healthcare","","","","South Korea","https://www.siriopharma.com/"
"CHILDREN'S PLACE","8,455","1,522 Million USD","-140 Million USD","0.731 Billion USD","USA","Apparels and Accessories, Consumer Services, Consumer Cyclical","","","","Nasdaq","https://www.siriopharma.com/"
"HUBEI HUITIAN NEW MATERIALS","8,456","","","0.942 Billion USD","China","Chemicals, Basic Materials","","","","Shenzhen","https://www.siriopharma.com/"
"HILAN","8,457","504 Million USD","40 Million USD","1.067 Billion USD","Israel","Software and IT, Technology","","","","Tel Aviv","https://www.siriopharma.com/"
"META MATERIALS INC.","8,458","","","","Canada","Electronics, Technology","","","","","https://www.siriopharma.com/"
"OCEANFIRST FINANCIAL","8,459","453 Million USD","63 Million USD","1.125 Billion USD","USA","Banking Services, Financial Services","838","","","Nasdaq","https://www.siriopharma.com/"
"NUVEEN NASDAQ 100 DYNAMIC OVERWRITE FUND","8,460","157 Million USD","156 Million USD","1.065 Billion USD","USA","Asset Management, Financial Services","","","","Nasdaq","https://www.siriopharma.com/"
"ANHUI GOLDEN SEED WINERY","8,461","156 Million USD","10 Million USD","1.954 Billion USD","China","Alcoholic Beverages, Beverages, Consumer Defensive","","","","Shanghai","https://www.siriopharma.com/"
"FAWAZ ABDULAZIZ ALHOKAIR & CO","8,462","1,143 Million USD","-294 Million USD","1.221 Billion USD","Saudi Arabia","Retail, Fashion and Luxury Goods, Consumer Cyclical","","","","Tadawul","https://www.fahretail.com/"
"WORLD ACCEPTANCE CORPORATION","8,463","500 Million USD","88 Million USD","0.703 Billion USD","USA","Financial Services","","","","Nasdaq","https://www.fahretail.com/"
