medical_specialty;doc_name;hospital;hospital_affiliations;doc_special_expertise;hospital_address;hospital_telephone
Surgery;Russell A. Wilson, MD;Piedmont Physicians Surgical Specialists; Piedmont Fayette Hospital;;1265 Highway 54 West, Suite 500B, Fayetteville, 30214;770-719-5660
Plastic Surgery;Asaf Yalif, MD;Y Plastic Surgery; Northside Hospital, Wellstar North Fulton Hospital; cosmetic surgery, breast cosmetic and reconstructive surgery, abdominoplasty, eyelid surgery/blepharoplasty;3330 Preston Ridge Road, Suite 340, Alpharetta, 30005;404-822-4402
Otolaryngology;Shatul L. Parikh, MD;Northwest ENT & Allergy Center; Piedmont Atlanta Hospital, Wellstar Kennestone Hospital; thyroid and parathyroid surgery, minimally invasive surgery;80 Lacy Street NW, Marietta, 30060;770-427-0368
Otolaryngology;David L. Parks, MD;Wellstar Medical Group ENT; Wellstar Kennestone Hospital, Wellstar Paulding Hospital; head and neck cancer and surgery;699 Church Street, Suite 340, Marietta, 30060;770-505-0023
Otolaryngology;Philip K. Robb, MD;Robb Family ENT; Northside Hospital, Emory Saint Joseph’s Hospital; sinus disorders, hearing disorders/tinnitus, sleep disorders/apnea/snoring, laryngeal and voice disorders;3400 Old Milton Parkway, Building C, Suite 575, Alpharetta, 30005;770-410-0202
Otolaryngology;G. Aaron Rogers, MD;Advanced Ear, Nose & Throat Associates; Northside Hospital, Emory Saint Joseph’s Hospital; sinus disorders/surgery, hearing loss/tinnitus, swallowing disorders, head and neck tumors;960 Johnson Ferry Road NE, Suite 200, Atlanta, 30342;404-943-0900
Medical Oncology;Robert Klafter, MD;Emory Saint Joseph’s Hospital; Emory Saint Joseph’s Hospital; lung cancer, breast cancer, prostate cancer, hematology (benign);5665 Peachtree Dunwoody Road NE, Suite 150A, Atlanta, 30342;404-778-1900
Medical Oncology;Mohan Krishnamachary, MD;Suburban Hematology/Oncology Associates; Northside Hospital Lawrenceville;;631 Professional Drive, Suite 450, Lawrenceville, 30046;770-963-8030
Medical Oncology;Omer Kucuk, MD;Emory Saint Joseph’s Hospital; Emory Saint Joseph’s Hospital; genitourinary cancer, nutrition and cancer prevention/control, prostate cancer, bladder cancer;5665 Peachtree Dunwoody Road NE, Suite 150A, Atlanta, 30342;404-778-1900
Medical Oncology;Amelia A. Langston, MD;Bone Marrow Transplant Clinic; Emory University Hospital, Emory University Hospital Midtown; hematologic malignancies, bone marrow transplant, graft vs. host disease;Emory Winship Cancer Institute, 1365 Clifton Road NE, Plaza Level, Building C, Floor 2, Atlanta, 30322;404-778-0519
Ophthalmology;James H. Frank, MD;Eye Consultants of Atlanta; Piedmont Atlanta Hospital; retinal disorders, retinal detachment, macular degeneration, diabetic eye disease/retinopathy;3225 Cumberland Boulevard SE, Suite 800, Atlanta, 30339;404-351-2220
Ophthalmology;Eugene B. Gabianelli, MD;Georgia Eye Partners; Emory Saint Joseph’s Hospital, Emory University Hospital Midtown; LASIK (refractive surgery), cataract surgery, cornea transplant, glaucoma;1100 Johnson Ferry Road NE, Suite 140, Atlanta, 30342;404-531-9988
Ophthalmology;Rajat Ghaiy, MD;Eye Consultants of Atlanta; Piedmont Atlanta Hospital; orbital surgery, orbital and eyelid tumors/cancer, eyelid cosmetic and reconstructive surgery, lacrimal gland disorders;3225 Cumberland Boulevard SE, Suite 800, Atlanta, 30339;404-351-2220
Maternal & Fetal Medicine;Richard D. Molina, MD;Atlanta Maternal-Fetal Medicine; Emory Decatur Hospital, Piedmont Fayette Hospital; pregnancy (high risk), diabetes in pregnancy;2665 North Decatur Road, Suite 750, Decatur, 30033;770-279-3838
Maternal & Fetal Medicine;Chukwuma I. Onyeije, MD;Atlanta Perinatal Associates; Emory Decatur Hospital, Emory University Hospital Midtown; pregnancy (high risk), prenatal diagnosis, obstetric ultrasound;550 Peachtree Street NE, Suite 1275, Atlanta, 30308;404-872-3121
Maternal & Fetal Medicine;Thomas N. Trevett, MD;Georgia Perinatal Consultants; Northside Hospital, Piedmont Atlanta Hospital; prenatal diagnosis, ultrasound, critical care;77 Collier Road NW, Suite 3130, Atlanta, 30309;404-851-8988
Interventional Cardiology;Binu James Kunjummen, MD;Atlanta Heart Specialists; Emory Decatur Hospital, Emory Saint Joseph’s Hospital; acute coronary syndromes, peripheral vascular disease, pacemaker/defibrillators;2665 North Decatur Road, Suite 320, Decatur, 30033;404-856-3550
Interventional Cardiology;Christopher Leach, MD;Northside Cardiovascular Institute; Northside Hospital; angioplasty and stent placement, peripheral vascular disease, cardiac catheterization, patent foramen ovale;1110 Peachtree Street NW, Suite 920, Atlanta, 30309;404-962-6000
Interventional Cardiology;Mark E. Leimbach, MD;Northside Cardiovascular Institute; Northside Hospital Cherokee, Northside Hospital; angioplasty and stent placement;470 Northside Cherokee Boulevard, Canton, 30114;404-962-6000
Interventional Cardiology;John Jeffrey Marshall, MD;Northside Cardiovascular Institute; Northside Hospital; angioplasty and stent placement, carotid artery disease, peripheral vascular disease;1110 Peachtree Street NW, Suite 920, Atlanta, 30309;404-962-6000
Colon & Rectal Surgery;Joy Lynn McCaffrey, MD;Piedmont Colorectal Associates; Piedmont Atlanta Hospital, Piedmont Henry Hospital; anorectal disorders, colon and rectal cancer and surgery, minimally invasive surgery;35 Collier Road NW, Suite 475, Atlanta, 30309;404-351-7900
Colon & Rectal Surgery;Jason A. Petrofski, MD;Atlanta Colon & Rectal Surgery; Northside Hospital Forsyth, Wellstar North Fulton Hospital; minimally invasive surgery, diverticulitis, inflammatory bowel disease, pelvic floor disorders;1505 Northside Boulevard, Suite 1900, Cumming, 30041;678-341-3764
Colon & Rectal Surgery;Patrick S. Sullivan, MD, PhD;Colon & Rectal Surgery Emory University Hospital Midtown; Emory University Hospital Midtown, Emory University Hospital; colon and rectal cancer and surgery, inflammatory bowel disease, anorectal disorders;550 Peachtree Street NE, Floor 9, Atlanta, 30308;404-778-2656
Hand Surgery;Joshua A. Ratner, MD;Hand & Upper Extremity Center of Georgia; Northside Hospital Children’s Healthcare of Atlanta at Scottish Rite; hand and upper extremity surgery, hand reconstruction, brachial plexus palsy (pediatric), upper extremity trauma;980 Johnson Ferry Road NE, Suite 1020, Atlanta, 30342;404-255-0226
Hand Surgery;John G. Seiler III, MD;Georgia Hand, Shoulder & Elbow; Piedmont Atlanta Hospital; sports medicine, hand, upper extremity, and tendon surgery;2061 Peachtree Road NE, Suite 500, Atlanta, 30309;404-352-3522
Hand Surgery;Obinwanne F. Ugwonali, MD;Peachtree Orthopedics; Northside Hospital; arthritis, elbow surgery, shoulder surgery, rotator cuff surgery;5505 Peachtree Dunwoody Road, Suite 600, Atlanta, 30342;404-355-0743
Neurology;Stephanie A. Riemann, MD;Bridgemill Neurological Associates; Northside Hospital Cherokee;;980 Woodstock Parkway, Suite 300, Woodstock, 30188;678-494-9545
Neurology;Nancy C. Weiner, MD;; Piedmont Atlanta Hospital; neuro-ophthalmology;105 Collier Road NW, Suite 5030, Atlanta, 30309;404-350-8941
Neurology;Joseph D. Weissman, MD, PhD;Emory at Decatur Neurology & Sleep Medicine; Emory Decatur Hospital; sleep disorders/apnea, migraine;2665 North Decatur Road, Suite 450, Decatur, 30033;404-501-7555
Neurology;David P. Williams, MD;Laureate Medical Group; Northside Hospital; neuromuscular disorders, myasthenia gravis, amyotrophic lateral sclerosis (ALS);1110 West Peachtree Street NW, Suite 1100, Atlanta, 30309;404-892-2131
Orthopaedic Surgery;Shervin V. Oskouei, MD;Emory Orthopaedics & Spine Center; Emory University Hospital, Emory University Hospital Midtown; musculoskeletal tumors, joint replacement, joint reconstruction;59 Executive Park South NE, Atlanta, 30329;404-778-3350
Orthopaedic Surgery;Jeffrey I. Peretz, MD;Resurgens Orthopaedics; Emory Saint Joseph’s Hospital; hip and knee replacement;5671 Peachtree Dunwoody Road, Suite 900, Atlanta, 30342;404-847-9999
Orthopaedic Surgery;Philip G. Ploska, MD;Regenerative Orthopaedics & Spine Institute; Piedmont Henry Hospital, Wellstar Spalding Regional Hospital; spinal disorders, minimally invasive spinal surgery, spinal microdiscectomy, hip and knee surgery;135 North Park Place, Suite 101, Stockbridge, 30281;770-892-0300
Neurological Surgery;Max R. Steuer, MD;Polaris Spine & Neurosurgery Center; Northside Hospital; scoliosis, spinal surgery, spinal disc replacement, stereotactic radiosurgery;1150 Hammond Drive, East Building, Suite 400, Atlanta, 30328;404-256-2633
Neurological Surgery;Christopher R. Tomaras, MD;Polaris Spine & Neurosurgery Center; Northside Hospital; spinal surgery, pain (back and neck), spinal surgery (complex), spinal disc replacement;1150 Hammond Drive, East Building, Suite 400, Atlanta, 30328;404-256-2633
Neurological Surgery;Steven D. Wray, MD;Atlanta Brain & Spine Care; Piedmont Atlanta Hospital; minimally invasive spinal surgery, spinal disc replacement;2001 Peachtree Road NE, Suite 575, Atlanta, 30309;404-350-0106
Neurological Surgery;David M. Wrubel, MD;Pediatric Neurosurgery Associates; Children’s Healthcare of Atlanta at Scottish Rite; pediatric neurosurgery, brain tumors, Chiari malformations;Medical Office Building at Scottish Rite, 5461 Meridian Mark Road, Suite 520, Atlanta, 30342;404-785-2900
Nephrology;M. Azeem Khan, MD;Nephrology Consultants of Georgia; Piedmont Fayette Hospital, Piedmont Atlanta Hospital; kidney disease, hypertension;1267 Highway 54 West, Suite 5400, Fayetteville, 30214;678-817-5542
Nephrology;Shazia Khan, MD;The Kidney Clinic; Piedmont Newnan Hospital, Piedmont Fayette Hospital; diabetic kidney disease, hypertension, kidney disease (chronic);1425 East Highway 34, Newnan, 30265;770-304-3724
Nephrology;Tarik Lalwani, MD;Peachtree Nephrology; Northside Hospital Lawrenceville, Northside Hospital;;5669 Peachtree Dunwoody Road, Suite 240, Atlanta, 30342;404-410-3970
Urology;Murphy F. Townsend III, MD;Wellstar Medical Group; Wellstar Kennestone Hospital; laparoscopic surgery;55 Whitcher Street, Suite 250, Marietta, 30060;770-428-4475
Urology;Aaron D. Weiss, MD;Emory Johns Creek Hospital; Emory Johns Creek Hospital, Emory University Hospital; kidney stones, minimally invasive urologic surgery, endourology, prostate benign disease (BPH);6300 Hospital Parkway, Suite 145, Johns Creek, 30097;404-778-4898
Urology;Michael A. Witt, MD;Reproductive Biology Associates; Northside Hospital, Piedmont Atlanta Hospital; infertility (male), sexual dysfunction;1100 Johnson Ferry Road NE, Suite 200, Atlanta, 30342;404-257-1900
Internal Medicine;Syed O. Wasim, MD;Eastside Internal Medicine; Piedmont Newton Hospital, Piedmont Atlanta Hospital; preventive medicine, chronic illness, diabetes, hypertension;2080 Eastside Drive, Suite A, Conyers, 30013;678-625-7800
Internal Medicine;Clyde Watkins, MD;Village Medical; Emory Hillandale Hospital, Emory Decatur Hospital; preventive medicine;2745 DeKalb Medical Parkway, Suite 200, Lithonia, 30058;404-446-3870
Internal Medicine;Valerie A. Wender, MD;Laureate Medical Group; Northside Hospital;;6135 Barfield Road, Suite 200, Atlanta, 30328;404-256-8500
Obstetrics & Gynecology;Colleen Killian, MD;Obstetrics-Gynecology Associates; Wellstar Kennestone Hospital;;699 Church Street, Suite 300, Marietta, 30060;770-422-8700
Obstetrics & Gynecology;Annie Kim, MD;Modern Obstetrics and Gynecology; Emory Johns Creek Hospital, Northside Hospital Forsyth;;10692 Medlock Bridge Road, Suite 100-A, Johns Creek, 30097;404-446-2496
Obstetrics & Gynecology;Jeanette D. Leader, MD;Georgia Obstetrics & Gynecology; Northside Hospital;;5780 Peachtree Dunwoody Road, Suite 320, Atlanta, 30342;404-256-2943
Cardiovascular Disease;David D. Suh, MD;Atlanta Heart Specialists; Emory Decatur Hospital, Emory Johns Creek Hospital; preventive cardiolgy, congestive heart failure, pacemaker/defibrillators, cardiac catheterization;1468 Montreal Road East, Tucker, 30084;770-638-1400
Cardiovascular Disease;Heather Westmoreland, MD;Northside Cardiovascular Institute; Northside Hospital; noninvasive cardiology;1110 Peachtree Street NW, Suite 920, Atlanta, 30309;404-962-6000
Cardiovascular Disease;Byron R. Williams Jr., MD;Emory Heart & Vascular Center; Emory University Hospital Midtown, Emory University Hospital; echocardiography, heart failure, heart valve disease, preventive cardiology;550 Peachtree Street NE, Floor 6, Suite 600, Atlanta, 30308;404-686-7878
Surgery;Thomas W. Wood, MD;Surgical Specialists of Atlanta; Northside Hospital Forsyth, Northside Hospital; minimally invasive surgery, robotic surgery, liver surgery, biliary surgery;5670 Peachtree Dunwoody Road, Suite 920, Atlanta, 30342;404-847-0664
Otolaryngology;Chester P. Rollins, MD;Piedmont Ear, Nose, Throat & Related Allergy; Piedmont Atlanta Hospital; nasal and sinus disorders, allergy, endoscopic sinus surgery;1720 Peachtree Street NE, Suite 200, Atlanta, 30309;404-351-5045
Otolaryngology;Jeffrey I. Roth, MD;Northeast Atlanta Ear, Nose & Throat; Children’s Healthcare of Atlanta at Scottish Rite, Northside Hospital Lawrenceville; pediatric otolaryngology, ear disorders/surgery, sinus disorders, sleep apnea;4385 Johns Creek Parkway, Suite 250, Suwanee, 30024;404-534-5802
Otolaryngology;Raymond L. Schettino, MD;North Fulton Ear, Nose & Throat Associates; Wellstar North Fulton Hospital, Children’s Healthcare of Atlanta at Scottish Rite; sinus disorders/surgery, pediatric and adult otolaryngology, head and neck surgery, sinus surgery (revision);2500 Hospital Boulevard, Suite 450, Roswell, 30076;770-343-8675
Medical Oncology;Kathleen Laveaux, MD;Georgia Cancer Specialists; Northside Hospital;;6300 Hospital Parkway, Suite 300, Johns Creek, 30097;770-623-8965
Medical Oncology;David H. Lawson, MD;Bone Marrow Transplant Clinic; Emory University Hospital; melanoma;Emory Winship Cancer Institute, 1365 Clifton Road NE, Plaza Level, Building C, Floor 2, Atlanta, 30322;404-778-0680
Medical Oncology;Kelly A. May, MD;Atlanta Cancer Care; Northside Hospital; breast cancer, lung cancer;5670 Peachtree Dunwoody Road, Suite 1100, Atlanta, 30342;404-851-2364
Medical Oncology;Kristy G. McDonald, MD;Georgia Cancer Specialists; Wellstar Cobb Hospital, Northside Hospital Cherokee; lung cancer, breast cancer, hematology;4586 Timber Ridge Drive, Suite 200, Douglasville, 30135;770-942-0457
Ophthalmology;Marc F. Greenberg, MD;Eye Consultants of Atlanta; Children’s Healthcare of Atlanta at Scottish Rite; pediatric ophthalmology, strabismus (adult and pediatric), cataract surgery;355 Tower Road, Suite 102, Marietta, 30060;770-422-4055
Ophthalmology;Hans E. Grossniklaus, MD;Emory Eye Center; Emory University Hospital, Grady Memorial Hospital; ophthalmic pathology, melanoma (ocular), retinoblastoma, eye tumors/cancer;1365 Clifton Road NE, Building B, Floor 4, Suite 4500, Atlanta, 30322;404-778-2020
Ophthalmology;Stephen M. Hamilton, MD;Eye Consultants of Atlanta; Piedmont Atlanta Hospital; corneal disease and surgery, cataract surgery, LASIK (refractive surgery), Fuchs’ dystrophy;3225 Cumberland Boulevard SE, Suite 800, Atlanta, 30339;404-351-2220
Interventional Cardiology;Yuri B. Pride, MD;CardioVascular Group; Northside Hospital Lawrenceville, Northside Hospital Duluth; cardiac catheterization, coronary artery disease;755 Walther Road, Lawrenceville, 30046;770-962-0399
Interventional Cardiology;Vivek Rajagopal, MD;Piedmont Heart Institute; Piedmont Atlanta Hospital;;95 Collier Road NW, Suite 5015, Atlanta, 30309;404-605-5699
Interventional Cardiology;Muthusamy Sekar, MD;Atlanta Heart Associates; Wellstar Spalding Regional Hospital, Piedmont Henry Hospital;;350 Country Club Drive, Suite A, Stockbridge, 30281;770-692-4000
Orthopaedic Surgery;Ashok S. Reddy, MD;Peachtree Orthopedics; Northside Hospital, Northside Hospital Forsyth; sports injuries, arthroscopic surgery (knee), arthroscopic surgery (shoulder), knee injuries/ACL/meniscus tears;5505 Peachtree Dunwoody Road, Suite 600, Atlanta, 30342;404-355-0743
Orthopaedic Surgery;John M. Rhee, MD;Emory Orthopaedics & Spine Center; Emory University Orthopaedic & Spine Hospital, Emory University Hospital; spinal surgery (cervical, neck, low back), spinal deformity;59 Executive Park South, Atlanta, 30329;404-778-7000
Orthopaedic Surgery;James R. Roberson, MD;Emory Orthopaedics & Spine Center; Emory University Hospital, Emory University Orthopaedic & Spine Hospital; hip replacement, knee replacement, arthritis, arthroscopic surgery;1459 Montreal Road, Tucker, 30084;404-778-3350
Orthopaedic Surgery;Yvonne E. Satterwhite, MD;Resurgens Orthopaedics; Emory Johns Creek Hospital, Northside Hospital Lawrenceville; sports medicine, shoulder surgery, knee surgery, arthroscopic surgery;6335 Hospital Parkway, Suite 200, Johns Creek, 30097;404-575-4500
Nephrology;Janice I. Lea, MD;Department of Nephrology; Emory University Hospital Midtown; hypertension (complex), kidney disease (chronic), diabetic kidney disease, dialysis care;Emory Clinic, 550 Peachtree Street NE Floor 7, Atlanta, 30308;404-778-5380
Nephrology;Kamyar Madani, MD;Nephrology Consultants of Georgia; Piedmont Fayette Hospital, Piedmont Atlanta Hospital; kidney disease;1267 Highway 54 West, Suite 5400, Fayetteville, 30214;678-817-5542
Urology;David S. Woo, MD;Gainesville Urology; Northeast Georgia Medical Center;;1240 Jesse Jewell Parkway SE, Suite 200, Gainesville, 30501-3862;770-532-8438
Urology;Barry M. Zisholtz, MD;Georgia Urology; Southern Regional Medical Center, Wellstar Atlanta Medical Center;;33 Upper Riverdale Road SW, Suite 105, Riverdale, 30274;770-991-0020
Internal Medicine;Gorka Zurinaga, MD;Roswell Internal Medicine; Northside Hospital, Wellstar North Fulton Hospital; hypertension, diabetes, cholesterol/lipid disorders, preventive medicine;1357 Hembree Road, Roswell, 30076;678-393-0012
Obstetrics & Gynecology;Bret C. Lewis, MD;Northside/Northpoint OB-GYN; Northside Hospital, Northside Hospital Forsyth; laparoscopic surgery, robotic surgery;5780 Peachtree Dunwoody Road, Suite 295, Atlanta, 30342;404-255-3633
Obstetrics & Gynecology;Jennifer M. Lyman, MD;Premiere Care for Women; Northside Hospital; minimally invasive surgery, laparoscopic hysterectomy, urogynecology, gynecology only;960 Johnson Ferry Road NE, Suite 400, Atlanta, 30342;404-257-0170
Obstetrics & Gynecology;L. Dawn Mandeville, MD;Atlanta Gynecology & Obstetrics; Emory Decatur Hospital; robotic surgery, laparoscopic surgery (complex), pregnancy;315 Winn Way, Decatur, 30030;404-299-9724
Otolaryngology;Roy S. Schottenfeld, MD;North Fulton Ear, Nose & Throat Associates; Wellstar North Fulton Hospital, Children’s Healthcare of Atlanta at Scottish Rite; head and neck cancer, sinus disorders/surgery, pediatric otolaryngology, head and neck surgery;2500 Hospital Boulevard, Suite 450, Roswell, 30076;770-343-8675
Otolaryngology;Merry E. Sebelik, MD;Department of Otolaryngology; Emory University Hospital Midtown, Emory University Hospital; head and neck cancer, thyroid and parathyroid cancer and surgery, skin cancer (head and neck);Emory University Hos­­­pital Midtown, 550 Peachtree Street NE, Floor 10, Suite 1060, Atlanta, 30308;404-778-0278
Otolaryngology;Elizabeth A. Shaw, MD;Perimeter ENT; Emory Saint Joseph’s Hospital, Northside Hospital; sinus disorders, thyroid disorders, allergy, head and neck surgery;755 Mount Vernon Highway NE, Suite 370, Atlanta, 30328;404-252-7368
Medical Oncology;Aldemar Montero, MD;Suburban Hematology/Oncology Associates; Northside Hospital Lawrenceville;;631 Professional Drive, Suite 450, Lawrence­ville, 30046;770-963-8030
Medical Oncology;Lawrence E. Morris Jr., MD;Blood & Marrow Transplant Group of Georgia; Northside Hospital; bone marrow and stem cell transplant, leukemia;5670 Peachtree Dunwoody Road, Suite 1000, Atlanta, 30342;404-255-1930
Medical Oncology;Mary Ninan, MD;Georgia Cancer Specialists; Northside Hospital;;6300 Hospital Parkway, Suite 300, Johns Creek, 30097;770-623-8965
Medical Oncology;Haritha Pabbathi, MD;Cancer Treatment Centers of America; CTCA at Southeastern Regional Medical Center;;Southeastern Regional Medical Center, 600 Celebrate Life Parkway, Newnan, 30265;770-400-7050
Ophthalmology;Charles Ho, MD;Marietta Eye Clinic; Wellstar Kennestone Hospital; cataract surgery, pediatric ophthalmology, strabismus (adult and pediatric);895 Canton Road NE, Suite 100, Marietta, 30060;770-427-8111
Ophthalmology;G. Baker Hubbard III, MD;Emory Eye Center; Emory University Hospital, Children’s Healthcare of Atlanta at Egleston; retinal disorders (pediatric), retinopathy of prematurity, retinoblastoma, diabetic eye disease/retinopathy;1365 Clifton Road NE, Building B, Floor 3, Suite 3500, Atlanta, 30322;404-778-2020
Ophthalmology;Daniel W. Hwang, MD;Eye Consultants of Atlanta; Piedmont Atlanta Hospital; eyelid cosmetic and reconstructive surgery, oculoplastic and orbital surgery, Graves’ disease;3225 Cumberland Boulevard SE, Suite 900, Atlanta, 30339;404-351-2220
Ophthalmology;Michael S. Jacobson, MD;Georgia Retina; Emory Decatur Hospital, Northside Hospital; retina/vitreous surgery, diabetic eye disease/retinopathy, macular degeneration, retinal detachment;1462 Montreal Road NW, Suite 412, Tucker, 30084;770-907-9400
Interventional Cardiology;Pradyumna E. Tummala, MD;Northside Cardiovascular Institute; Northside Hospital; angioplasty and stent placement, heart valve disease, coronary artery disease (complex), heart attack;1110 Peachtree Street NW, Suite 920, Atlanta, 30309;404-962-6000
Orthopaedic Surgery;Todd A. Schmidt, MD;Piedmont Orthopedics | OrthoAtlanta; Piedmont Henry Hospital, Piedmont Fayette Hospital; Achilles tendon rupture, shoulder surgery, sports injuries, joint reconstruction;1240 Eagles Landing Parkway, Suite 300, Stockbridge, 30281;770-506-4350
Orthopaedic Surgery;D. Hal Silcox III, MD;Peachtree Orthopedics; Northside Hospital, Piedmont Atlanta Hospital;;5505 Peachtree Dunwoody Road, Suite 600, Atlanta, 30342;404-355-0743
Orthopaedic Surgery;Paul V. Spiegl, MD;Perimeter Orthopaedics; Emory Saint Joseph’s Hospital, Northside Hospital; foot and ankle surgery;5673 Peachtree Dunwoody Road, Suite 825, Atlanta, 30342;404-255-5595
Orthopaedic Surgery;Gary W. Stewart, MD;Resurgens Orthopaedics; Piedmont Henry Hospital; foot and ankle surgery, ankle replacement, sports injuries;105 Regency Park Drive, McDonough, 30253;678-422-4292
Nephrology;Karen Muro, MD;Georgia Nephrology; Emory Decatur Hospital, Piedmont Rockdale Hospital; kidney stones, hypertension, diabetes, dialysis care;497 Winn Way, Suite A-210, Decatur, 30030;404-645-7150
Nephrology;Saied T. Murphy, MD;Hypertension & Kidney Care of North Atlanta; Emory Saint Joseph’s Hospital, Northside Hospital; hypertension, kidney disease (chronic), dialysis care;2260 Northlake Parkway, Suite 211, Tucker, 30084;770-491-1344
Nephrology;Khaled Nass, MD;Kidney Care Center of Georgia; Northeast Georgia Medical Center, Northside Hospital Forsyth; nephrotic syndrome, diabetic kidney disease, kidney stones;663 Lanier Park Drive, Gainesville, 30501;678-450-0202
Obstetrics & Gynecology;Lori Marshall, MD;Northside/Northpoint OB-GYN; Northside Hospital, Northside Hospital Forsyth;;5780 Peachtree Dunwoody Road, Suite 295, Atlanta, 30342;404-255-3633
Obstetrics & Gynecology;Taniqua A. Miller, MD;Obstetrics & Gynecology; Emory University Hospital; obstetrics, telemedicine;Emory Clinic, 1365 Clifton Road NE, Building A, Floor 4, Atlanta, 30322;404-778-3401
Obstetrics & Gynecology;Melinda Miller-Thrasher, MD;Innovative Women’s Healthcare Solutions; Emory University Hospital Midtown, Piedmont Atlanta Hospital; adolescent gynecology, uterine fibroids, menopause problems;3200 Highland Parkway, Suite 420, Smyrna, 30082;678-424-1123
Otolaryngology;Clementino A. Solares, MD;Department of Otolaryngology; Emory University Hospital Midtown, Emory University Hospital; head and neck cancer and surgery, skull base surgery;Emory University Hospital Midtown, 550 Peachtree Street NE, Medical Office Tower, Floor 10, Atlanta, 30308;404-778-0278
Otolaryngology;Eric C. Weinman, MD;Ear, Nose & Throat Institute; ear disorders, nasal and sinus disorders, sleep disorders/apnea/snoring, throat disorders;;1121 Johnson Ferry Road, Marietta, 30068;770-740-1860
Otolaryngology;Sarah K. Wise, MD;Department of Otolaryngology; Emory University Hospital Midtown, Emory University Hospital; nasal and sinus disorders, nasal obstruction, nasal polyp, skull base surgery;Emory University Hospital Midtown, 550 Peachtree Street NE, Floor 9, Suite 4400, Atlanta, 30308;404-778-3381
Otolaryngology;Malaika M. Witter Hewitt, MD;ENT of Georgia; Emory Saint Joseph’s Hospital, Children’s Healthcare of Atlanta at Scottish Rite; pediatric otolaryngology, nasal and sinus disorders, allergy, sleep disorders;5673 Peachtree Dunwoody Road, Suite 150, Atlanta, 30342;404-297-4230
Medical Oncology;Kevin H. Peacock, MD;Suburban Hematology/Oncology Associates; Northside Hospital Lawrenceville; breast cancer;631 Professional Drive, Suite 450, Lawrence­ville, 30046;770-963-8030
Medical Oncology;Suresh S. Ramalingam, MD;Bone Marrow Transplant Clinic; Emory University Hospital; lung cancer;Emory Winship Cancer Institute, 1365 Clifton Road NE, Plaza Level, Building C, Floor 2, Atlanta, 30322;404-778-1900
Medical Oncology;William L. Read, MD;Emory University Hospital Midtown; Emory University Hospital Midtown; gastrointestinal cancer, gynecologic cancers, sarcoma;550 Peachtree Street NE, Floor 18, Atlanta, 30308;404-778-1900
Medical Oncology;Nabil F. Saba, MD;Emory University Hospital Midtown; Emory University Hospital Midtown; head and neck cancer, esophageal cancer, thyroid cancer, lung cancer;550 Peachtree Street NE, Floor 10, Atlanta, 30308;404-778-0278
Ophthalmology;Cameron Johnson, MD;Milan Eye Center; Northside Hospital Forsyth, Northside Hospital Cherokee;;201 Kimberly Way, Suite 106, Canton, 30114;678-616-9592
Ophthalmology;Denise A. Johnson, MD;Marietta Eye Clinic; Wellstar Kennestone Hospital; cataract surgery, dry eye syndrome;895 Canton Road NE, Suite 100, Marietta, 30060;770-427-8111
Ophthalmology;Parul Khator, MD;Georgia Eye Partners; Emory Saint Joseph’s Hospital; glaucoma, LASIK (refractive surgery);1100 Johnson Ferry Road NE, Suite 140, Atlanta, 30342;404-531-9988
Orthopaedic Surgery;Robert M. Titelman, MD;Resurgens Orthopaedics; Emory Saint Joseph’s Hospital, Northside Hospital; arthroscopic surgery, shoulder replacement, elbow replacement, ligament reconstruction;5671 Peachtree Dunwoody Road, Suite 900, Atlanta, 30342;404-847-9999
Orthopaedic Surgery;Jeff A. Traub, MD;Atlanta Bone & Joint; Emory Decatur Hospital, Eastside Medical Center; sports medicine, shoulder and knee surgery, joint replacement, arthroscopic surgery;2801 North Decatur Road, Suite 200, Decatur, 30033;404-296-5005
Orthopaedic Surgery;Samuel Clifton Willimon, MD;Children’s Physician Group, Orthopaedics & Sports Medicine; Children’s Healthcare of Atlanta at Scottish Rite; sports medicine;5445 Meridian Mark Road, Suite 250, Atlanta, 30342;404-255-1933
Nephrology;Elizabeth T. Nguyen, MD;North Atlanta Kidney Specialists; Northside Hospital, Emory Saint Joseph’s Hospital;;980 Johnson Ferry Road, Suite 410, Atlanta, 30342;404-252-0256
Nephrology;William G. Paxton, MD, PhD;Georgia Nephrology; Northside Hospital Lawrenceville, Emory Johns Creek Hospital;;595 Hurricane Shoals Road NW, Suite 100, Lawrenceville, 30046;404-645-7150
Nephrology;Juan Luis Pimentel IV, MD;Northwest Nephrology Clinic; Emory Decatur Hospital, Emory Hillandale Hospital; hypertension, kidney stones, kidney disease (chronic), fluid/electrolyte balance;5255 Snapfinger Park Drive, Suite 110, Decatur, 30035;770-981-2211
Nephrology;Sushma Reddycheria, MD;Nephrology Consultants of Georgia; Piedmont Fayette Hospital, Piedmont Atlanta Hospital; kidney disease;1267 Highway 54 West, Suite 5400, Fayetteville, 30214;678-817-5542
Obstetrics & Gynecology;Fonda Ann Mitchell, MD;The Southeast Permanente Medical Group; Emory University Hospital Midtown;;Medical Center at Gwinnett, 3650 Steve Reynolds Boulevard, Duluth, 30096;404-365-0966
