medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Pediatric Medicine;ABMS Pediatrics;Ghada  Osko, MD;Female;;Kirkwood Health Center;Morehouse;(404) 616-1000;;Damascus University School of Medicine;;Morehouse School Of Medicine
Family Medicine;ABMS Family Medicine;Aruna S. Panini, MD;Female;;Kirkwood Health Center;Grady;(404) 616-1000;;University of Colorado School of Medicine;;St. Anthony's Family Medicine Residency Program
Pediatric Cardiology;;James A. Nelson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Seattle Children's Hospital;Duke University School of Medicine;Duke University Medical Center;Duke University Medical Center
Psychiatry;;Justin M. Palanci, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;George Washington University/Medical Faculty;;Emory University
Infectious Diseases;ABMS Internal Medicine;Melody P. Palmore, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Thomas Jefferson University Hospital;University of Cincinnati College of Medicine;University of Pennsylvania Health System;University of Pennsylvania Health System
Internal Medicine;ABMS Internal Medicine;Kencliffe O. Palmer, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Ross University School of Medicine;Morehouse School of Medicine;Morehouse School of Medicine
Internal Medicine;ABMS Internal Medicine;Edmond  Nelson, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of South Alabama;;University of South Alabama
Abdominal Imaging;ABMS Radiology;Jeffrey  Neitlich, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Yale University School of Medicine;Harvard Medical School;Faulkner Hospital;Yale University School of Medicine
Hematology;ABMS Internal Medicine;Bassel  Nazha, MD, MPH;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;American University of Beirut Medical Center;;Staten Island University Hospital
Neurology;ABMS Psychiatry/Neurology;Digvijaya D. Navalkele, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas Health Science;Grant Medical College;University of Texas Southwestern;University of Texas Southwestern
Pediatric Medicine;ABMS Pediatrics;Kimberly V. Parsons, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Harlem Hospital Center;SUNY @ Buffalo School of Medicine;The Children's Hospital of Philadelphia;
Emergency Medicine;ABMS Emergency Medicine;Nirmala  Natarajan, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Rush Medical College;University of California;Mount Sinai Medical Center
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Alena  Naumova, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;St George's University;;Monmouth Medical Center
Anatomic & Clinical Pathology;ABMS Pathology;Stewart G. Neill, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;Emory University School of Medicine
Neonatal-Perinatal Medicine;ABMS Pediatrics;Ravi M. Patel, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Medical College of Georgia;;New York University
;ABMS Anesthesiology;Joanna M. Schindler, MD;Female;;;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Orthopedics;ABMS Orthopaedic Surgery;Mara L. Schenker, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Harborview Medical Center;University of Chicago;;University of Pennsylvania
Anesthesiology;ABMS Anesthesiology;Ilan  Sondheimer, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Jefferson Medical College;Lankenau Medical Center;Emory University School of Medicine
Rheumatology;ABMS Internal Medicine;Katina C. Tsagaris, DO;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Philadelphia College of Osteopathic Medicine;;Georgetown University School of Medicine
Pulmonary & Critical Care;ABMS Internal Medicine;Alexander D. Truong, MD, MPH;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Johns Hopkins Hospital;Tulane University School of Medicine;Yale-New Haven Hospital;Yale-New Haven Hospital
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Marcia M. Schmidt, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University School of Medicine;S.U.N.Y. Health Science Center @ Syracuse;;Winthrop-University Hospital
Emergency Medicine;ABMS Emergency Medicine;Nataisia  Terry, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;SUNY, Health Science College of Medicine;;SUNY Downstate Medical Center
Emergency Medicine;ABMS Emergency Medicine;Tricia  Smith, MD, MPH;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of West Indies;;University of Connecticut
Surgical Critical Care;;Randi N. Smith, MD, MPH;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pennsylvania;University of California San Francisco,;;University of California San Francisco – East Bay
Cardiovascular Disease;ABMS Internal Medicine;Yasir M. Taha, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;East Tennessee State University Quillen;University of Khartoum;Atlanta Medical Center-Wellstar;Atlanta Medical Center-Wellstar
Neurology;ABMS Psychiatry/Neurology;Roger P. Simon, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Weill Cornell Graduate School of Medical Sciences;;New York Hospital/Cornell Medical Center
Family Practice;ABMS Family Medicine;Charles  Sow, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Universite Cheick Anta Diop;;Morehouse School Of Medicine
Ophthalmology;ABMS Ophthalmology;Praneetha  Thulasi, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Illinois Eye and Ear Infirmary;Emory University School of Medicine;;Emory University School of Medicine
Otolaryngology;ABMS Otolaryngology;Andrew T. Tkaczuk, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Maryland Medical System;;University of Maryland Medical System
Psychiatry;ABMS Psychiatry/Neurology;Marsha J. Stern, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Tulane University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;;Danielle B. Steed, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of California San Diego Medical Center;;Emory university
Neurological Surgery;;Tristan M. Stani, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Brown University Lifespan;;
Vascular & Interventional Radiology;ABMS Radiology;Silanath  Terpenning, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas MD Anderson Cancer Center;Prince of Songkla;;
Diabetes & Metabolism;ABMS Internal Medicine;Guillermo E. Umpierrez, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Guayaquil;Emory University School of Medicine;Emory University School of Medicine
Gynecologic Oncology;;Christopher Gordon Smith, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Kansas School of Medicine;;University of Kentucky
Family Practice;ABMS Family Medicine;Xuexin  Tang, MD;Male;;Brookhaven Health Center;Grady;(404) 616-1000;;Henan Medical University;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Daniel E. Ukpong, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Calabar- Nigeria;;Albert Einstein Medical Center
Surgery;ABMS Surgery;Kahdi F. Udobi, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Shock Trauma Center, University of Maryland Baltimore, MD;University of Ibadan, Nigeria;St Elizabeth’s Health Center, Youngstown OH;State University of New York at Buffalo
Surgery;ABMS Colon/Rectal Surgery;Jacquelyn S. Turner, MD, FACS, FASCRS;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Texas Health Science Center;Rush University Medical Center;Rush University College of Medicine
Internal Medicine;ABMS Internal Medicine;Sara D. Turbow, MD, MPH;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Otolaryngology;ABMS Otolaryngology;Merry E. Sebelik, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Texas MD Anderson Cancer Center;Medical College of Wisconsin;;Medical College of Wisconsin
Pediatrics;ABMS Pediatrics;Betti J. Steele, MD;Female;;Grady Memorial Hospital;Grady;(404) 616-1000;;Medical College of Georgia;Emory University School of Medicine;Emory University School of Medicine
Cardiovascular Disease;ABMS Internal Medicine;Lakshmi S. Tummala, MD, FACC;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Washington Hospital Center;Northwestern Feinberg School of Medicine;;New York University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Alaina R. Steck, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Keck School of Medicine of the University of Southern California;;Boston Medical Center
Radiology;ABMS Radiology;Monica B. Umpierrez, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Universidad Catolica;Emory University School of Medicine;Emory University School of Medicine
Psychiatry;ABMS Psychiatry/Neurology;Ann C. Schwartz, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Wisconsin;Emory University School of Medicine;Emory University School of Medicine
Nuclear Medicine;ABMS Radiology;David M. Schuster, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Albany Medical Center Hospital;Albany Medical Center;New England Medical Center
Trauma Surgery;ABMS Surgery;Jason D. Sciarretta, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Jackson Memorial Hospital;Saba Univeristy School of Medicine;Mount Sinai Medical Center/ Miami Beach;University of Louisville Hospital
Emergency Medicine;ABMS Emergency Medicine;Justin D. Schrager, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Jason S. Schneider, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;New York University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Pediatrics;ABMS Pediatrics;Yasmin C. Tyler-Hill, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Medical University of South Carolina College of Medicine;Boston Medical Center;Boston City Hospital
Otolaryngology;ABMS Otolaryngology;Nicole C. Schmitt, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Washington School of Medicine;Washington University in St. Louis;University of Washington School of Medicine;University of Washington School of Medicine
Pathology;ABMS Pathology;Frank  Schneider, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mayo Clinic College of Medicine;;;Duke University Medical Center
Internal Medicine;;Guneesh S. Uberoi, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Sri Ramachandra;;Mt Sinai  Hospital
General Medicine;ABMS Internal Medicine;Stacie  Schmidt, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Gary J. Rzeznik, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;Medical College of Georgia;Medical College of Georgia
Neurology;ABMS Surgery;Ofer  Sadan, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Sackler School of Medicine ECFMG;Rabin Medical Center;Tel-Aviv Medical Center
Gynecologic Oncology;ABMS Obstetrics/Gynecology;Laura  Ruch, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Toledo;;St. Joseph Mercy Hospital
Pediatric Medicine;ABMS Pediatrics;Radwan  Sabbagh, MD;Male;;Kirkwood Health Center;Grady;(404) 616-1000;University of Florida;University of Damascus;;Hurley Medical Center
Dental Medicine;;Anthony E. Rozier, DDS;Male;;Ponce De Leon Center;Grady;(404) 616-1000;;;;
Pediatric Radiology;ABMS Radiology;Smyrna P. Tuburan, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Loma Linda University Children's Hospital;Loma Linda university Health Care;Santa Barbara Cottage Hospital;Loma Linda University Medical Center
Pediatric Infectious Diseases;ABMS Pediatrics;Christina A. Rostad, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;Emory University School of Medicine
Radiology;ABMS Radiology;Bradley S. Rostad, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Michael A. Ross, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Wayne State University School of Medicine;Wayne State University School of Medicine;Wayne State University School of Medicine
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Shalandra R. Ross, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Southern Illinois University School of Medicine;;Morehouse School of Medicine
Diagnostic Radiology;ABMS Radiology;Harry  Schroeder, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts General Hospital;Perelman School of Medicine;Albert Einstein Medical Center;Massachusetts General Hospital
Pulmonary Disease;ABMS Internal Medicine;Bashar S. Staitieh, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Kansas School of Medicine;;Brown Medical School
Anesthesiology;ABMS Anesthesiology;Craig M. Spector, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Virginia;Northshore University Hospital;Shands Teaching Hospital
Orthopaedics;;Cleo D. Stafford, MD, MS, CAQSM, FAAPMR;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;St. Vincent's East/American Sports;Howard University College of Medicine;Howard University Hospital;Emory University School of Medicine
Dermatology;ABMS Dermatology;Mary K. Spraker, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Oregon Health and Science University Hospital;University of Wisconsin;Children's Hospital Medical Center (Ohio);Children's Hospital Medical Center (Ohio)
Infectious Disease;ABMS Internal Medicine;Jennifer O. Spicer, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Family Medicine;ABMS Family Medicine;Angeline J. Ti, MD, MPH;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California San Francisco;University of Michigan Medical School;University of California San Francisco;University of California San Francisco
Diagnostic Radiology;ABMS Radiology;Stefan  Tigges, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;Vanderbilt University Medical Center
Emergency Medicine;ABMS Emergency Medicine;Jerry D. Thomas, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;East Carolina University Brody School of Medicine;;University of Massachusetts Medical School
Plastic Surgery;ABMS Surgery;Peter W. Thompson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Virginia School of Nursing;Emory University School of Medicine;Emory University School of Medicine
Neurocritical Care;ABMS Psychiatry/Neurology;Tommy T. Thomas, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts General Hospital;University of Alabama;University of Alabama;Massachusetts General Hospital
Cardiovascular Disease;ABMS Internal Medicine;Marc D. Thames, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mayo Clinic;Virginia Commonwealth University School of Medicine;Brigham and Women's Hospital;Brigham and Women's Hospital
Family Medicine;ABMS Family Medicine;Tassew  Tesfaye, MD;Male;;Grady Memorial Hospital;Grady;(404) 616-1000;;Addis Ababa University;Tikur Anbassa University Hospital;SUNY Downstate Medical Center
Internal Medicine;ABMS Internal Medicine;Sahar  Taghvaei, DO;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Western University of Health Sciences;St. Barnabas Hospital;St. Barnabas Hospital
Family Medicine;ABMS Family Medicine;Humaira  Syed, MD;Female;;North Fulton Health Center;Grady;(404) 616-1000;;Deccan College of Medical Sciences;;University of Texas Medical Branch
Anatomic & Clinical Pathology;ABMS Pathology;Talaat S. Tadros, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Ain Shams University;Ain Shams University;Emory University School of Medicine
Pediatric Cardiology;ABMS Pediatrics;Divya  Suthar, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Vanderbilt Unversity Hospital;Sri Siddhartha Medical;East Tennessee State University Quillen;East Tennessee State University Quillen
Gynecologic Oncology;ABMS Obstetrics/Gynecology;Madeline Y. Sutton, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Centers For Disease Control-Geogia;Columbia University College of Physicians & Surgeons;University of Medicine and Dentistry of New Jersey;Univ of Medicine & Denistry of NJ-Univ Hospital
Ophthalmology;;Lucy  Sun, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;SUNY Univ of NY at Buffalo School of Medicine;;Mount Sinai Hospital
Family Medicine;ABMS Family Medicine;Aerica S. Summers, MD;Female;;Kirkwood Health Center;Grady;(404) 616-1000;;East Carolina University Brody School of Medicine;Pitt County Memorial/East Carolina University;Pitt County Memorial/East Carolina University
Neurocritical Care;;Jimmy  Suh, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Pennsylvania State University College of Medicine;Medical University of South Carolina;Medical University of South Carolina
Psychiatry;ABMS Psychiatry/Neurology;Melissa C. Smith, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Atlanta Medical Center-Wellstar
Anesthesiology;ABMS Anesthesiology;Thanayi B. Smith, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;State Univ of New York Office of the Registrar;Staten Island University Hospital;Emory University School of Medicine
Surgery;ABMS Surgery;Maria C. Russell, MD, FACS;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;MS Anderson Cancer Center;The Brody School of Medicine @ East Carolina University;;Emory University School of Medicine
Diagnostic Radiology;ABMS Radiology;William C. Small, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Roanoke Memorial Hospital;Emory University School of Medicine
Emergency Medicine;;Emma K. Sizemore, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Neurocritical Care;;Erika Janelle Sigman, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Mercer Health Systems;Harvard University;Harvard University
Emergency Medicine;ABMS Emergency Medicine;Laura F. Slivka-Villalon, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Wright State University, Boonshoft School of Medicine;;SUNY Downstate Medical Center
Radiation Oncology;ABMS Radiology;Hui-Kuo G. Shu, MD;Male;Chinese;Grady Memorial Hospital;Emory;(404) 616-1000;University of California San Francisco School of Medicine;Case Western Reserve University School of Medicine;University Hospitals of Cleveland;
Cardiovascular Disease;ABMS Internal Medicine;Syed H. Shirazi, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Rush Medical College;King's College School of Medicine & Dentistry;Grant Hospital Of Chicago;Veterans Aff Med Ctr - Dayton
Diagnostic Radiology;ABMS Radiology;Adam  Singer, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;Georgetown University School of Medicine
Medical Oncology;ABMS Internal Medicine;Dong M. Shin, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Yonsei University;John H. Stroger Jr., Hospital of Cook County;John H. Stroger Jr., Hospital of Cook County
Rheumatology;ABMS Internal Medicine;Athanasios N. Tiliakos, DO;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Kirksville College of Osteopathic Medicine;Drexel University College of Medicine;Drexel University College of Medicine
Emergency Medicine;ABMS Emergency Medicine;Monique A. Smith, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;Alameda Health System- Highland Hospital Program
Diagnostic Radiology;ABMS Radiology;Scot  Sherwood, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California, San Diego;University of Tennessee;University of Tennessee;Baptist Memorial Hospital
Radiation Oncology;ABMS Radiology;Joseph W. Shelton, MD;Male;;Radiation-Oncology Center;Emory;(404) 616-1000;;University of North Carolina at Chapel Hill;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Taiwo C. Sheyin, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Lagos College of Medicine;;Harlem Hospital Center
Pulmonary & Critical Care;ABMS Internal Medicine;Seema S. Tekwani, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Pittsburgh Medical Center;TN Medical College;;Harlem Hospital Center
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Naomi K. Tepper, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Yale University School of Medicine;Beth Israel Deaconess Medical Center;Beth Israel Deaconess Medical Center
Internal Medicine;ABMS Internal Medicine;Yoseph H. Tekleyes, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Addis Adaba University;WellStar Atlanta Medical Center;WellStar Atlanta Medical Center
General Medicine;ABMS Internal Medicine;Mehul N. Tejani, MD;Male;;Ponce De Leon Center;Emory;(404) 616-1000;;Baylor College of Medicine;;UPMC Presbyterian Int. Medicine
Emergency Medicine;ABMS Emergency Medicine;Todd  Taylor, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;Louisiana Health Science
Psychiatry;ABMS Psychiatry/Neurology;Jasmine P. Taylor, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Alabama;University Hospital of Alabama;University Hospital of Alabama
Urology;ABMS Urology;Martin G. Sanda, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;National Cancer Institute, NIH;Harlem Hospital Center;;Medical College of Virginia
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Asif  Taufiq, DDS;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Amanda M. Sanders, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia;;Medical University of South Carolina
Cardiothoracic Vascular Surgery;ABMS Surgery;Manu S. Sancheti, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Alabama at Birmingham;;Emory University School of Medicine
Internal Medicine;;Manasi  Tannu, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of North Carolina @ Chapel Hill, School of Medicine;;Emory university
Cardiovascular Disease;ABMS Internal Medicine;Habib  Samady, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Yale University School of Medicine;University of Sheffield School of Medicine;Royal Hallamshire Hospital;University of Colorado School of Medicine
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Hedwige  Saint Louis, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;University of Miami School of Medicine;University of Missouri - Columbia School of Medicine;St. Vincent's Hospital - Manhattan
Emergency Medicine;ABMS Emergency Medicine;Philip H. Shayne, MD, FACEP;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Illinois College of Medicine;John H. Stroger Jr., Hospital of Cook County;Cook County Office of Risk Management
Diagnostic Radiology;ABMS Radiology;Amit M. Saindane, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;New York University Medical Center;University of Pennsylvania;Presbyterian Medical Center (Philadelphia);New York University Medical Center
Orthopedics;ABMS Orthopaedic Surgery;Christopher K. Sadlack, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Insall, Scott, Kelly, PC;George Washington University School Medicine&Health Sciences;Emory University School of Medicine;Emory University School of Medicine
Diagnostic Radiology;ABMS Preventive Medicine;Nabile M. Safdar, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Maryland Medical Center;Thomas Jefferson University;Lankenau Hospital;University of Maryland Medical Center
Neuroradiology;ABMS Radiology;Gelareh  Sadigh, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University Hospital;Tehran University of Medical Sciences;Emory University Hospital;Emory University Hospital
Diagnostic Radiology;ABMS Radiology;William E. Torres, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
;ABMS Radiology;Mylin A. Torres, MD;Female;;;Emory;(404) 616-1000;;Stanford University School of Medicine;Alameda County  Medical Center/Highland Campus;University of Texas Houston Health Science Center
Emergency Medicine;ABMS Emergency Medicine;Jeffrey N. Siegelman, MD, FACEP;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Albert Einstein College of Medicine;Harvard Affiliated Emergency Medicine;Harvard Affiliated Emergency Medicine
Neuroradiology;ABMS Radiology;Frank C. Tong, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Duke University School of Medicine;;Emory University School of Medicine
Family Medicine;ABMS Family Medicine;Michelle L. Todd, MD;Female;;Asa G Yancey Health Center;Grady;(404) 616-1000;;University of Louisville School of Medicine;;Atlanta Medical Center
Surgical Critical Care;ABMS Surgery;Samual R. Todd, MD FACS FCCM;Male;;Grady Memorial Hospital;Grady;(404) 616-1000;Oregon Health and Science University;Texas Tech University School of Medicine;;Texas Tech University School of Medicine
Diagnostic Radiology;ABMS Radiology;Paige E. Sharp, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Texas;Baylor College of Medicine;Emory University School of Medicine
Pediatric Medicine;ABMS Pediatrics;Dipika  Sharma, MD;Female;;Grady Memorial Hospital;Grady;(404) 616-1000;;Manipal College;;Morehouse school of medicine
Internal Medicine;ABMS Internal Medicine;Krithika  Shanmugasundaram, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Michigan Medical School;Emory University School of Medicine;
Pediatric Infectious Diseases;ABMS Pediatrics;Andrea L. Shane, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California San Francisco School of Medicine;Louisiana State University School of Medicine(NO);Montefiore Medical Center;Albert Einstein College of Medicine
Internal Medicine;ABMS Internal Medicine;Anandi N. Sheth, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;Emory University Hospital;Johns Hopkins University School of Medicine;;Johns Hopkins University School of Medicine
Medical Oncology;ABMS Internal Medicine;Walid L. Shaib, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;American University of Beirut;American University of Beirut Medical Center;Yale University School of Medicine
Diagnostic Radiology;ABMS Radiology;Hari  Trivedi, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of California San Francisco, School of Medicine;Medical College of Georgia;Carolinas Medical Center;University of California San Francisco, School of Medicine
;ABMS Internal Medicine;Natasha A. Travis, MD;Female;;;Emory;(404) 616-1000;;Rush University College of Medicine;;Aurora Sinai Medical Center
Gastroenterology;ABMS Internal Medicine;Anand S. Shah, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;State Univeristy of New  at Downstate Medical Center;Indiana University School of Medicine;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Bijal B. Shah, MD, FACEP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Carolinas Medical Center
Surgery;ABMS Surgery;Preeti D. Subhedar, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Memorial Sloan-Kettering Cancer Center;Marshall University;;Emory University School of Medicine
Psychiatry;ABMS Psychiatry/Neurology;Sanjay M. Sharma, MD;Male;;Ponce De Leon Center;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Surgery;ABMS Surgery;Toncred M. Styblo, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Medical College of Virginia Hospitals;St. Louis University School of Medicine;St. Louis University Hospital;Medical College of Virginia Hospitals
