"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Arshad Pervez","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Bengali English Persian (Farsi) Urdu","Adults Geriatrics","Newark Beth Israel Medical Center",""
"Rizwan Khan","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Sinai Grace Hospital",""
"Mary S Lee","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Brian M Renard","Cardiology","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"James E Clinton","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"David W Peters","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Jamie C Baines","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Michigan State University College of Osteopathic Medicine",""
"Alexandra I Halalau","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English French Romanian","Adults","Beaumont Hospital, Royal Oak","4.8 out of 5"
"Patrick VanDeHey","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital",""
"Iyad J Alosachie","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic Chaldean English French","Adults Geriatrics","Ascension Providence Hospital",""
"Michael W Nichols","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Issa T Haddad","Pediatrics","Beaumont Hospital, Dearborn","","Male","Arabic English","Pediatrics Teenagers","Henry Ford Hospital",""
"F Vincent Mitek","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Wayne State University School of Medicine",""
"Carl M Karoub","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Mark H Stephen","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Ascension Providence Hospital",""
"Douglas L Marsh","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital",""
"Sheela Madipelli","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Steven D Buchan","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","Northwestern University",""
"Rolando M Estupigan","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Spanish Tagalog","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Jonathan E Pasko","Internal Medicine","Beaumont Hospital, Trenton","","Male","English","Adults Geriatrics","Wayne State University/Detroit Medical Center",""
"David R Weidendorf","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English German","Adults Geriatrics","Oakwood Hospital - Dearborn",""
"Brian D Titesworth","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Deborah S Lambrecht","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Mary E Smyth","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Nada S Beydoun","Internal Medicine","Beaumont Hospital, Dearborn","","Female","Arabic English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Nahid D Elyas","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults","Ascension Providence Hospital",""
"Nicolas A Marsheh","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","Damascus University School of Medicine - Syria",""
"LoriAnn Washe","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Ghada D Mustapha","Family Medicine","Beaumont Hospital, Taylor","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.8 out of 5"
"Laura E Zelenak","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Macomb-Oakland Hospital, Oakland Center",""
"Ribhi Hazin","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English Spanish","Adults Geriatrics","Wayne State University/DMC",""
"John E Blanzy","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Zieger Osteopathic Hospital","4.8 out of 5"
"Thomas G Costantino","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Teenagers Adults Geriatrics","Beaumont Farmington Hills","4.8 out of 5"
"Hugo A Davila Grijalva","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Kristopher J Patnugot","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English French Tagalog","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Anthony G Paniccia","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital",""
"Sumbul F Rahman","Family Medicine","Beaumont Hospital, Dearborn","","Female","English Urdu","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne",""
"Jessica L Haveman","Family Medicine","Beaumont Hospital, Wayne","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.8 out of 5"
"Peter J Francis","Pediatrics","Beaumont Hospital, Grosse Pointe","","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Lynn M Alling-Jones","Pediatrics","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sameer S Bhagwan","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Linda M Dillon","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","University of Michigan",""
"Olufunke M Adeyemo","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Yoruba","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Deepshikha Gupta-Riley","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Wayne State University - Detroit Medical Center",""
"Ali H Jaber","Family Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Mary Mercy Hospital",""
"John S Zazaian","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Armenian English","Adults Geriatrics","Pontiac Osteopathic Hospital",""
"Sudha Nannapaneni","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Adults Geriatrics","Bon Secours Hospital",""
"Uzair A Munshey","Family Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Urdu","Newborns Pediatrics Teenagers Adults Geriatrics","Western Michigan University Homer Stryker MD School of Medicine",""
"Mouhamad F Rihawi","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","St John Hospital & Medical Center",""
"Katherine S Schafer","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sara Ali","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English Urdu","Adults Geriatrics","Ascension Providence Hospital",""
"Neda Saker","Pediatrics","Beaumont Hospital, Royal Oak","","Female","Arabic English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Martha A Pollock","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults","Beaumont Hospital, Royal Oak","4.7 out of 5"
"Evandro M Silveira","Pediatrics","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Philip J Sciturro","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Syed Khasim-Ali Jafri","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","University of Michigan Health System",""
"Genevieve J Crandall","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Donna M Hoban","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Teenagers Adults Geriatrics","Bon Secours Hospital","4.9 out of 5"
"Fikrat B Kayali","Pediatrics","Beaumont Hospital, Dearborn","","Female","Arabic English","Newborns Pediatrics Teenagers","Hurley Medical Center",""
"Deanna Denysenko","Pediatrics","Beaumont Hospital, Grosse Pointe","","Female","English","Pediatrics","St John Hospital & Medical Center",""
"Donald B Welker","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Satish N Kamath","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Mark Sinkoff","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Henry Ford Hospital",""
"Susan Beth Tam","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital",""
"Rafid Y Mansour","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic Chaldean English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Dilip Khanal","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Hindi","Adults","Beaumont Hospital, Royal Oak",""
"Rose Ibrahim","Family Medicine","Beaumont Hospital, Taylor","","Female","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","St. Joseph Mercy - Oakland",""
"Hasan Hasaba","Pediatrics","Beaumont Hospital, Royal Oak","","Male","Arabic English Spanish","Newborns Pediatrics Teenagers","Saint Josephs Regional Medical Center",""
"Hammad Qureshi","Internal Medicine","Beaumont Hospital, Wayne","","Male","Arabic English Hindi Punjabi Spanish Urdu","Adults Geriatrics","Texas Tech University Health Sciences Center School of Medicine",""
"Brett A Holmes","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults","Beaumont Hospital, Royal Oak","4.9 out of 5"
"Robert J Egan","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Pediatrics Teenagers Adults Geriatrics","Wayne State University School of Medicine (Michigan)",""
"Jessica L Haveman","Family Medicine","Beaumont Hospital, Wayne","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.8 out of 5"
"Brian J Kolender","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Rush-Presbyterian-St Luke's Med Ctr",""
"Hugo A Davila Grijalva","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Thomas G Costantino","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Teenagers Adults Geriatrics","Beaumont Farmington Hills","4.8 out of 5"
"Rabia Bangash","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Pashto Urdu","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Stacy K Richards","Family Medicine","Beaumont Hospital, Troy","","Female","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"John E Blanzy","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Zieger Osteopathic Hospital","4.8 out of 5"
"Avikshitha Sudhakara","Internal Medicine","Beaumont Hospital, Trenton","","Male","English","Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Matthew T Ewald","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Joyanta K Saha","Internal Medicine","Beaumont Hospital, Troy","","Male","Bengali English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Kirsten M Miller-Unger","Pediatrics","Beaumont Hospital, Troy","","Female","English German Spanish","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Tarif Mustafa","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English French","Adults Geriatrics","Providence Hospital",""
"Saleh S Muslah","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English Spanish","Adults Geriatrics","Henry Ford Hospital",""
"David A Hug","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Redwan Asbahi","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","Wayne State University/DMC",""
"Karla M Kasza","Internal Medicine","Beaumont Hospital, Trenton","","Female","English","Teenagers Adults Geriatrics","Oakwood Southshore Medical Center",""
"Rajinder P Sharma","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Punjabi","Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Genise E Kerner","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Sinai Hospital of Detroit",""
"Trupti R. Patel","Internal Medicine","Beaumont Hospital, Wayne","","Female","English Gujarati Hindi","Adults Geriatrics","Beaumont Hospital, Grosse Pointe",""
"Amine P Amine","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English French","Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Sheila M Dolinshek","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Rica C Stamatin","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","St Joseph Mercy Oakland",""
"Mahmoud M Al-Shami","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","University of Nebraska Medical Center College of Medicine",""
"Anthony J Agrusa","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital",""
"Tamara B Schmidt","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Kelly Z Ortwine","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Hadeel N Kado","Family Medicine","Beaumont Hospital, Troy","","Female","Arabic Chaldean English","Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Zeeshan Tarique","Pediatrics","Beaumont Hospital, Dearborn","","Female","English Hindi Urdu","Newborns Pediatrics Teenagers","Texas Tech University Health Sciences Center",""
"David E Pawlowski","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital",""
"Anne M Joannides Carbajo","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Mary Katta Hakim","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English Spanish","Pediatrics Teenagers Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Ada L Kendall","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Spanish","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Marcia E Kling","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Michael D Collins","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center",""
"Jennifer Fretz","Family Medicine","Beaumont Hospital, Trenton","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital",""
"Sandhya B Patel","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Gujarati Hindi","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Simi Pullukat","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Malayalam Spanish","Newborns Pediatrics Teenagers","Children's Hospital of Orange County",""
"Jane Kanjirathumkal Syriac","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English Malayalam","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Chander Kanta","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Adults Geriatrics","St John Hospital & Medical Center",""
"Angela Amudha Xavier","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English Tamil","Adults Geriatrics","Trinitas Regional Medical Center",""
"Saadia V Siddiqui","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Adults","Wayne State University",""
"Ali M Alsaadi","Internal Medicine","Beaumont Hospital, Farmington Hills","","Male","Arabic English","Adults Geriatrics","Providence Hospital and Medical Centers-Southfield (Michigan)",""
"Nina H Rehman","Internal Medicine","Beaumont Hospital, Troy","","Female","English Hindi Urdu","Teenagers Adults Geriatrics","Henry Ford Hospital",""
"Curtis P Craig","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Madhu V Gupta","Family Medicine","Beaumont Hospital, Dearborn","","Female","English Hindi","Newborns Pediatrics Teenagers Adults Geriatrics","University of Michigan Hospital",""
"Robert J Jackson","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Steven D Grant","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Suleman Siddiqui","Internal Medicine","Beaumont Hospital, Wayne","","Male","English Urdu","Adults Geriatrics","Henry Ford Hospital",""
"Kurt R Young","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital",""
"Theophilus O Ulinfun","Family Medicine","Beaumont Hospital, Trenton","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Henry Ford Hospital",""
"Mouhamad F Rihawi","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","St John Hospital & Medical Center",""
"Katherine S Schafer","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sara Ali","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English Urdu","Adults Geriatrics","Ascension Providence Hospital",""
"Zahoorul Hassan","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Urdu","Adults Geriatrics","Oakwood Hospital - Dearborn",""
"Fabrizio DiNoto","Internal Medicine","Beaumont Hospital, Troy","","Male","English Italian","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Sudha R. Patel","Internal Medicine","Beaumont Hospital, Wayne","","Female","English Gujarati Hindi","Adults Geriatrics","Polyclinic Hospital, Ohio",""
"Misha L Martinez","Pediatrics","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers","Cardinal Glennon Children's Hospital",""
"Stephanie J Bierlein-Timinsky","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.9 out of 5"
"Terry M Calcut","Family Medicine","Beaumont Hospital, Royal Oak","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Daniel E Panush","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Ascension Providence Hospital",""
"Anthony J Agrusa","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital",""
"Mahmoud M Al-Shami","Internal Medicine","Beaumont Hospital, Troy","","Male","Arabic English","Adults Geriatrics","University of Nebraska Medical Center College of Medicine",""
"Dalya S Shamon","Family Medicine","Beaumont Hospital, Troy","","Female","Arabic Chaldean English French","Newborns Pediatrics Teenagers Adults Geriatrics","Henry Ford Hospital",""
"Sheila M Dolinshek","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Hospital & Medical Center",""
"Mona Eldin","Family Medicine","Beaumont Hospital, Royal Oak","","Female","English","Teenagers Adults Geriatrics","Pontiac General",""
"Christina A Joslin","Family Medicine","Beaumont Hospital, Troy","","Female","English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Michigan State University College of Osteopathic Medicine",""
"Craig E Singer","Pediatrics","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers","Mount Sinai Hospital ICAHN School of Medicine",""
"Rimsha M Iqbal","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Lauren M Rose","Family Medicine","Beaumont Hospital, Wayne","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Community Health Network",""
"Silvia B Operti-Considine","Pediatrics","Beaumont Hospital, Troy","","Female","English Spanish","Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sandhya B Patel","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Gujarati Hindi","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Simi Pullukat","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English Malayalam Spanish","Newborns Pediatrics Teenagers","Children's Hospital of Orange County",""
"Jane Kanjirathumkal Syriac","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English Malayalam","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Scott P Stryd","Family Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Pediatrics Teenagers Adults Geriatrics","Sparrow Hospital",""
"Angela Amudha Xavier","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English Tamil","Adults Geriatrics","Trinitas Regional Medical Center",""
"Ross A Summers","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Arun Singal","Internal Medicine","Beaumont Hospital, Trenton","","Male","English Hindi Punjabi","Adults Geriatrics","Coney Island Hospital",""
"Zafer Obeid","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English French","Adults Geriatrics","Providence Hospital and Medical Center",""
"Sarah E Wilson","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Joseph A Skoney","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Stephen P D'Addario","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","Wayne State University",""
"Hadi G Berry","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English","Adults Geriatrics","St. Joseph Mercy Hospital",""
"Sarveswararao Talla","Pediatrics","Beaumont Hospital, Royal Oak","","Male","English","Newborns Pediatrics Teenagers","Mount Carmel Mercy Hospital/Sinai-Grace Hospital",""
"Ebazare M Ayewah","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Wayne State University DMC Medical Center",""
"Katherine A Ling-McGeorge","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Valerie K Hudson","Pediatrics","Beaumont Hospital, Grosse Pointe","","Female","English","Newborns Pediatrics Teenagers","St John Hospital & Medical Center",""
"Michael K Margolis","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Abbas M Al-Hakim","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","Arabic English","Adults Geriatrics","Bon Secours Hospital",""
"Mohit Gupta","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi","Adults Geriatrics","Henry Ford Hospital",""
"Irene M Signori","Internal Medicine","Beaumont Hospital, Dearborn","","Female","English Spanish","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Ralph W Raper","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Kris Warszawski","Internal Medicine","Beaumont Hospital, Dearborn","","Male","English Polish","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Sudha R. Patel","Internal Medicine","Beaumont Hospital, Wayne","","Female","English Gujarati Hindi","Adults Geriatrics","Polyclinic Hospital, Ohio",""
"Misha L Martinez","Pediatrics","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers","Cardinal Glennon Children's Hospital",""
"Stephanie J Bierlein-Timinsky","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.9 out of 5"
"Maribeth Knight","Internal Medicine","Beaumont Hospital, Farmington Hills","","Female","English","Adults Geriatrics","Beaumont Health - Farmington Hills",""
"Daniel E Panush","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English","Adults Geriatrics","Ascension Providence Hospital",""
"Maha G Hasso","Family Medicine","Beaumont Hospital, Troy","","Female","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Melinda Kakish","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Michelle M Bauer","Family Medicine","Beaumont Hospital, Trenton","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital",""
"Bret C Bielawski","Internal Medicine","Beaumont Hospital, Troy","","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Svetlana M Mishulin","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Sinai Grace Hospital",""
"Kimberly Lynn Ottoni","Family Medicine","Beaumont Hospital, Grosse Pointe","","Female","English","","Beaumont Hospital, Troy","4.8 out of 5"
"Rachael E Ustruck","Family Medicine","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","St John Macomb-Oakland Hospital, Oakland Center",""
"Julie B Finn","Internal Medicine","Beaumont Hospital, Royal Oak","","Female","English","Adults Geriatrics","Sinai Grace Hospital",""
"Benjamin O Osowa","Internal Medicine","Beaumont Hospital, Grosse Pointe","","Male","English","Adults Geriatrics","St John Hospital & Medical Center",""
"Janice L Johnson","Pediatrics","Beaumont Hospital, Troy","","Female","English","Newborns Pediatrics Teenagers","Cincinnati's Children's",""
"Cheryl L Smith","Family Medicine","Beaumont Hospital, Trenton","","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital",""
"Kajoor D Sudhakara","Internal Medicine","Beaumont Hospital, Trenton","","Male","English Kannada","Adults Geriatrics","Beaumont Hospital, Grosse Pointe",""
"Hussein C Khraizat","Family Medicine","Beaumont Hospital, Royal Oak","","Male","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Macomb-Oakland Hospital, Warren Campus",""
"Carl C Sarnacki","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
